Top_up_Credit_Card_ID,Amount,Credit_Card_Number,Wallet_ID,Top_Up_Date
CT00000136,25119.93,6877-5272-6356-9064,W000000136,2021-02-02
CT00000137,25635.67,3278-9636-6509-5240,W000000137,2019-12-30
CT00000138,12157.78,1024-0481-5508-4198,W000000138,2020-10-28
CT00000139,32119.07,6244-7080-7778-1195,W000000139,2020-07-05
CT00000140,34805.4,4621-9334-5741-6529,W000000140,2019-04-19
CT00000141,34251.27,4004-3872-9322-4689,W000000141,2019-04-01
CT00000142,18575.61,2699-9290-1775-0478,W000000142,2021-10-02
CT00000143,33345.5,5264-9806-8906-9810,W000000143,2020-03-11
CT00000144,22466.57,4267-6789-8403-2826,W000000144,2020-09-25
CT00000145,13441.48,7761-0670-0670-5216,W000000145,2020-07-16
CT00000146,7380.24,9540-9126-4973-2119,W000000146,2019-06-09
CT00000147,12368.7,6093-7464-1049-3631,W000000147,2020-09-22
CT00000148,13447.51,7282-9865-5737-9523,W000000148,2019-01-05
CT00000149,14837.77,3665-0869-8186-5109,W000000149,2020-05-07
CT00000150,3427.43,9619-5444-4992-4316,W000000150,2021-08-11
CT00000151,22303.98,0759-5382-6660-7083,W000000151,2021-12-11
CT00000152,2807.43,2216-3897-9453-1828,W000000152,2019-08-26
CT00000153,20322.1,0887-7080-4546-7245,W000000153,2020-02-21
CT00000154,21745.24,7484-9946-0187-6262,W000000154,2019-01-30
CT00000155,15794.48,6136-4835-0808-8612,W000000155,2020-04-04
CT00000156,5007.32,5012-5978-7257-6305,W000000156,2020-06-22
CT00000157,17414.95,1787-4745-6893-9815,W000000157,2021-05-29
CT00000158,6380.71,6656-7249-0943-5815,W000000158,2021-07-27
CT00000159,29198.01,4778-0863-6403-3329,W000000159,2020-08-02
CT00000160,3657.11,0930-4567-2366-7895,W000000160,2019-05-09
CT00000161,23091.46,7230-6486-1679-9158,W000000161,2020-04-01
CT00000162,5632.87,1203-5182-7979-4805,W000000162,2019-09-24
CT00000163,4608.51,0095-4458-9806-7138,W000000163,2021-04-21
CT00000164,34171.73,2386-5146-2424-0358,W000000164,2022-03-01
CT00000165,32962.31,5685-9474-6813-8483,W000000165,2021-04-08
CT00000166,17584.38,6269-6308-2756-5467,W000000166,2019-01-03
CT00000167,20846.81,0759-5382-6660-7083,W000000167,2021-09-15
CT00000168,34960.51,4955-8647-2696-3488,W000000168,2021-03-18
CT00000169,28726.79,6932-0849-9548-1169,W000000169,2021-09-14
CT00000170,27442.81,9469-2633-7343-0088,W000000170,2019-05-22
CT00000171,30300.45,4861-1470-2853-8288,W000000171,2020-04-11
CT00000172,30265.03,7756-9607-5056-5599,W000000172,2021-03-11
CT00000173,5232.04,6044-0343-4724-4490,W000000173,2020-08-12
CT00000174,19100.89,9836-6119-2910-4522,W000000174,2021-08-20
CT00000175,15122.76,9022-0818-3695-7855,W000000175,2021-08-29
CT00000176,6632.82,2626-2812-4615-0001,W000000176,2020-07-01
CT00000177,26746.99,2296-3012-6032-3384,W000000177,2021-04-30
CT00000178,26279.1,4720-5391-7980-4382,W000000178,2019-05-29
CT00000179,28057.78,2119-9526-4278-9914,W000000179,2020-01-06
CT00000180,32105.35,3567-8555-1271-4510,W000000180,2022-03-09
CT00000181,19956.17,6995-4338-1814-1890,W000000181,2020-04-06
CT00000182,18790.5,4257-4788-4323-1283,W000000182,2020-12-09
CT00000183,27497.3,3710-7356-0281-0830,W000000183,2020-05-29
CT00000184,1717.93,6881-2496-3678-0536,W000000184,2021-03-18
CT00000185,8437.24,1178-4080-6459-3994,W000000185,2020-06-17
CT00000186,34541.69,7522-9162-8512-7628,W000000186,2020-07-06
CT00000187,2344.95,5984-7589-8111-4621,W000000187,2020-07-05
CT00000188,15327.23,7151-2836-5751-8900,W000000188,2020-04-13
CT00000189,13806.74,1825-8993-2309-8247,W000000189,2021-03-27
CT00000190,25944.1,6144-3642-0605-8158,W000000190,2020-01-27
CT00000191,14606.78,5574-0983-0588-6347,W000000191,2019-03-31
CT00000192,14411.81,3388-5483-3594-5805,W000000192,2021-07-08
CT00000193,12687.25,5358-5984-5214-9051,W000000193,2022-01-01
CT00000194,5646.73,8839-1865-7752-7022,W000000194,2020-06-20
CT00000195,16212.49,1262-0897-3477-6488,W000000195,2021-06-14
CT00000196,29485.94,0706-9238-8660-2394,W000000196,2020-04-21
CT00000197,23676.11,0857-0001-3972-3424,W000000197,2021-12-23
CT00000198,25593.92,6178-6837-3793-0580,W000000198,2019-02-07
CT00000199,29000.25,0379-4914-4180-8442,W000000199,2021-03-07
CT00000200,5719.03,1606-7738-8824-4890,W000000200,2021-10-17
CT00000201,21921.88,8747-3542-9165-2586,W000000201,2020-06-21
CT00000202,29526.06,4066-9047-7244-5657,W000000202,2021-02-09
CT00000203,18992.86,6888-2825-7687-2414,W000000203,2021-02-14
CT00000204,8595.46,6136-3053-4150-1522,W000000204,2019-11-04
CT00000205,21432.95,3567-8555-1271-4510,W000000205,2020-07-16
CT00000206,3406.26,2981-7989-9491-8016,W000000206,2022-02-16
CT00000207,6626.85,0426-1961-3876-2463,W000000207,2020-04-28
CT00000208,22843.77,1513-7061-3605-7879,W000000208,2019-02-07
CT00000209,33634.45,0722-2636-2231-3352,W000000209,2019-04-25
CT00000210,997.61,7877-9893-0280-0414,W000000210,2019-01-05
CT00000211,5090.96,6909-8120-7699-7953,W000000211,2021-12-17
CT00000212,28212.15,9670-6672-3900-1530,W000000212,2019-06-01
CT00000213,29337.37,7087-0371-1989-7853,W000000213,2022-01-20
CT00000214,13629.88,3461-0126-3051-4418,W000000214,2020-10-29
CT00000215,4236.98,6961-5422-0948-5286,W000000215,2021-08-12
CT00000216,20080.84,8032-7892-5267-0212,W000000216,2020-08-06
CT00000217,34549.4,1254-8823-9871-6808,W000000217,2019-08-03
CT00000218,21755.96,9121-4680-5929-0808,W000000218,2021-03-29
CT00000219,7556.3,6797-4562-0741-1751,W000000219,2021-01-22
CT00000220,3353.55,2361-0453-0283-5916,W000000220,2019-05-12
CT00000221,11401.84,2185-7366-4262-6510,W000000221,2021-10-23
CT00000222,31644.25,1237-0239-2470-4121,W000000222,2020-10-13
CT00000223,25246.8,7418-5755-0498-4289,W000000223,2020-08-15
CT00000224,33364.9,9606-8988-0492-5798,W000000224,2020-02-01
CT00000225,10446.12,1587-2685-4928-3783,W000000225,2021-10-20
CT00000226,17814.62,8538-3959-7010-6009,W000000226,2021-04-08
CT00000227,19752.14,8115-5382-6751-7929,W000000227,2020-04-14
CT00000228,26610.05,2353-8917-7961-9079,W000000228,2019-01-28
CT00000229,8585.76,2678-6161-1159-5139,W000000229,2019-05-27
CT00000230,34608.86,2428-0784-8872-5410,W000000230,2021-12-21
CT00000231,1686.6,7987-3758-8377-9114,W000000231,2021-11-12
CT00000232,34847.19,8157-5016-7549-4688,W000000232,2019-11-23
CT00000233,5727.68,4875-0761-6999-2769,W000000233,2019-09-03
CT00000234,3327.39,1316-3650-3409-4427,W000000234,2021-02-23
CT00000235,3666.08,1673-2387-9749-6104,W000000235,2021-09-01
CT00000236,9831.76,3249-6533-0579-2147,W000000236,2021-08-01
CT00000237,10529.2,1961-8476-9425-3021,W000000237,2020-07-23
CT00000238,22692.92,2123-3530-2718-5494,W000000238,2019-05-08
CT00000239,18403.51,8157-5016-7549-4688,W000000239,2021-04-04
CT00000240,13083.0,2527-2146-2060-7032,W000000240,2020-11-15
CT00000241,33991.92,8731-7960-5838-0605,W000000241,2019-02-15
CT00000242,14200.17,2228-4815-5087-3431,W000000242,2020-06-17
CT00000243,8373.68,9707-8770-3678-9489,W000000243,2020-07-19
CT00000244,31264.09,2185-7366-4262-6510,W000000244,2019-05-08
CT00000245,17660.51,9230-3531-0693-8043,W000000245,2020-01-29
CT00000246,5050.94,3738-4154-0377-6471,W000000246,2019-04-20
CT00000247,2214.12,4815-2145-5938-7016,W000000247,2020-12-11
CT00000248,23887.18,7484-9946-0187-6262,W000000248,2020-07-31
CT00000249,13690.67,1432-2324-4643-4901,W000000249,2021-12-18
CT00000250,14818.86,5117-9189-9941-3384,W000000250,2020-11-05
CT00000251,26521.03,1665-7226-6514-4493,W000000251,2020-10-09
CT00000252,12338.37,7797-4650-8141-4056,W000000252,2019-10-10
CT00000253,18311.27,9085-9353-2158-0852,W000000253,2021-05-01
CT00000254,22413.54,1386-6364-4548-7479,W000000254,2019-01-24
CT00000255,29447.75,3135-2348-7689-9393,W000000255,2021-07-18
CT00000256,30669.66,6514-6506-2893-5978,W000000256,2019-02-13
CT00000257,1761.19,2789-4780-6983-5220,W000000257,2021-08-01
CT00000258,17427.91,6438-4255-3321-1812,W000000258,2020-01-16
CT00000259,26953.53,2808-4713-7744-3266,W000000259,2019-07-15
CT00000260,22183.96,7397-5513-8138-3756,W000000260,2021-02-11
CT00000261,11578.37,9392-4474-8783-5379,W000000261,2020-07-07
CT00000262,32143.72,0208-4954-3796-9087,W000000262,2021-04-28
CT00000263,25796.01,9619-5444-4992-4316,W000000263,2020-11-12
CT00000264,3285.24,6517-6667-1859-1319,W000000264,2021-06-22
CT00000265,13326.93,2549-2919-8207-4445,W000000265,2020-11-11
CT00000266,12297.23,2720-2605-9766-0593,W000000266,2020-10-03
CT00000267,25079.07,6657-5600-6101-0420,W000000267,2021-01-16
CT00000268,15717.07,7087-0371-1989-7853,W000000268,2021-08-25
CT00000269,13431.02,1976-8400-8995-4003,W000000269,2020-11-25
CT00000270,32968.4,4683-5657-5953-4463,W000000270,2020-12-26
CT00000271,15097.03,4947-7954-6212-9411,W000000271,2020-05-10
CT00000272,31059.24,1977-4725-0143-6964,W000000272,2020-12-16
CT00000273,21714.51,8693-4350-0938-2049,W000000273,2020-10-29
CT00000274,24844.33,6131-5636-0541-5339,W000000274,2020-08-20
CT00000275,31690.39,8335-6390-3499-9976,W000000275,2021-11-22
CT00000276,33490.15,1606-7738-8824-4890,W000000276,2020-04-26
CT00000277,26129.25,3134-4438-3690-7400,W000000277,2020-05-11
CT00000278,2105.15,4357-3997-5815-3739,W000000278,2019-06-14
CT00000279,20268.57,3154-5569-5726-7428,W000000279,2020-08-09
CT00000280,32442.27,1095-2886-5106-4111,W000000280,2021-11-14
CT00000281,795.05,6176-8000-9734-0739,W000000281,2019-03-09
CT00000282,33532.35,4426-9014-5213-1221,W000000282,2020-05-21
CT00000283,17977.83,8717-5131-6993-0231,W000000283,2020-03-08
CT00000284,31708.31,0252-7433-2654-8354,W000000284,2021-06-03
CT00000285,1304.18,4045-9148-3470-3181,W000000285,2021-03-07
CT00000286,24233.4,7400-5381-8058-1417,W000000286,2020-06-24
CT00000287,30539.53,9383-5360-8431-1274,W000000287,2019-09-19
CT00000288,24206.25,3948-3576-5190-7063,W000000288,2019-06-12
CT00000289,12629.25,3485-8007-1771-1672,W000000289,2020-05-26
CT00000290,21982.39,1898-9265-2160-2628,W000000290,2019-08-25
CT00000291,27635.81,5963-1851-0043-8843,W000000291,2019-11-15
CT00000292,21084.21,1446-9551-4721-3165,W000000292,2022-01-29
CT00000293,26171.1,8747-3542-9165-2586,W000000293,2019-08-22
CT00000294,25789.84,8370-8732-9779-4071,W000000294,2021-10-03
CT00000295,5095.03,0677-9978-0103-6264,W000000295,2020-12-11
CT00000296,13510.57,1866-8284-7994-7249,W000000296,2020-03-10
CT00000297,8310.09,7996-9876-7150-7487,W000000297,2019-04-17
CT00000298,5496.97,5329-7459-5450-7777,W000000298,2020-08-27
CT00000299,32441.67,5297-4212-7330-9871,W000000299,2020-03-18
CT00000300,7246.53,5264-9806-8906-9810,W000000300,2021-11-10
CT00000301,12734.63,4295-6302-1099-4827,W000000301,2019-03-26
CT00000302,34665.18,2760-2930-0409-3105,W000000302,2020-03-23
CT00000303,9331.26,6936-3540-5816-1040,W000000303,2019-07-19
CT00000304,20255.04,6730-9452-3669-1959,W000000304,2019-10-25
CT00000305,10242.22,3324-4090-4249-2502,W000000305,2019-07-01
CT00000306,10348.35,1441-2285-8918-7869,W000000306,2020-12-29
CT00000307,23547.35,3620-4329-1895-9004,W000000307,2021-06-09
CT00000308,27067.11,6572-3283-9285-3646,W000000308,2019-02-20
CT00000309,34352.92,5738-7415-5369-9595,W000000309,2019-02-09
CT00000310,21716.94,2182-1546-3333-7771,W000000310,2021-08-13
CT00000311,7575.26,3502-4523-8750-5418,W000000311,2019-04-25
CT00000312,27994.54,1479-2499-0601-6778,W000000312,2020-10-02
CT00000313,4680.91,8231-9386-7190-1497,W000000313,2022-01-03
CT00000314,2850.26,4676-8850-6209-1074,W000000314,2020-05-12
CT00000315,11713.64,2678-2291-5012-1976,W000000315,2022-03-07
CT00000316,23309.8,7199-1047-5165-0726,W000000316,2020-10-31
CT00000317,5971.6,8227-8470-4929-4214,W000000317,2021-08-29
CT00000318,694.88,6671-6013-9269-6427,W000000318,2019-06-05
CT00000319,12402.66,0579-0453-1910-6781,W000000319,2020-10-21
CT00000320,34726.75,5426-9929-1533-0055,W000000320,2021-08-09
CT00000321,25608.86,9989-1914-1189-1623,W000000321,2019-07-10
CT00000322,25669.36,3708-5586-0395-6624,W000000322,2022-01-20
CT00000323,12098.7,4054-7702-1316-7656,W000000323,2021-12-13
CT00000324,25271.03,9895-5792-7632-6784,W000000324,2022-01-21
CT00000325,19117.02,0143-9416-9639-4609,W000000325,2021-01-07
CT00000326,26621.16,0405-5530-8710-0345,W000000326,2021-02-23
CT00000327,27002.34,5428-1623-7860-1161,W000000327,2020-08-07
CT00000328,22819.94,4130-7348-4319-4934,W000000328,2021-11-22
CT00000329,12611.71,1504-5913-5046-6952,W000000329,2019-09-30
CT00000330,27455.45,9141-4765-4789-6654,W000000330,2020-06-04
CT00000331,20583.48,8072-2869-9969-3135,W000000331,2019-07-24
CT00000332,26187.79,2182-1546-3333-7771,W000000332,2019-06-16
CT00000333,32686.77,1976-1746-2143-2645,W000000333,2019-10-22
CT00000334,21681.84,3753-7324-2416-9782,W000000334,2021-06-15
CT00000335,8241.07,9787-6527-3785-8014,W000000335,2021-09-09
CT00000336,444.71,7739-7404-1087-9489,W000000336,2021-05-11
CT00000337,24676.87,4012-0805-7150-6118,W000000337,2021-10-10
CT00000338,29997.26,2501-3591-3802-0536,W000000338,2021-09-23
CT00000339,24427.24,6681-2047-6725-2597,W000000339,2019-05-02
CT00000340,1068.44,7265-5377-0309-3155,W000000340,2019-03-29
CT00000341,23757.54,6988-3738-8425-3913,W000000341,2020-04-04
CT00000342,10571.34,2918-0454-3840-0046,W000000342,2020-12-31
CT00000343,24438.96,6732-5481-9684-8074,W000000343,2020-07-10
CT00000344,4721.09,8723-3708-7626-9218,W000000344,2020-11-11
CT00000345,10748.78,8602-7934-6325-4225,W000000345,2020-10-29
CT00000346,9224.17,2487-2366-9143-6681,W000000346,2020-11-07
CT00000347,21755.51,9504-7585-6686-2352,W000000347,2020-08-05
CT00000348,13046.76,5106-7976-2801-8905,W000000348,2019-07-29
CT00000349,33226.16,5472-6511-3091-8597,W000000349,2022-01-26
CT00000350,21512.25,3778-1705-5910-5910,W000000350,2019-10-19
CT00000351,1516.19,0780-8050-8853-1003,W000000351,2021-07-07
CT00000352,14591.71,6134-8155-6762-9911,W000000352,2020-05-13
CT00000353,28384.66,6046-8180-5020-8450,W000000353,2021-11-02
CT00000354,11691.41,0074-1115-1264-4425,W000000354,2020-07-09
CT00000355,16903.82,3482-7898-1986-8815,W000000355,2022-01-19
CT00000356,24705.97,2476-3082-3193-3502,W000000356,2019-08-15
CT00000357,10083.47,5574-7335-7933-4942,W000000357,2020-09-04
CT00000358,29492.67,9465-6152-6984-7117,W000000358,2019-11-05
CT00000359,29647.84,1787-4745-6893-9815,W000000359,2020-03-01
CT00000360,30095.96,4490-2106-8587-9770,W000000360,2020-09-20
CT00000361,21500.86,1294-3906-8286-6961,W000000361,2019-07-30
CT00000362,24254.64,0443-3016-0622-0784,W000000362,2021-05-02
CT00000363,8684.74,6034-0233-2317-0567,W000000363,2019-08-01
CT00000364,29029.46,3323-4529-2376-5869,W000000364,2020-11-01
CT00000365,19155.78,5192-0217-3434-0977,W000000365,2021-12-21
CT00000366,17052.46,9085-9353-2158-0852,W000000366,2019-02-12
CT00000367,29757.2,5673-3335-4869-2159,W000000367,2019-08-26
CT00000368,15361.42,4869-7857-0485-3068,W000000368,2019-05-17
CT00000369,5111.1,6850-7660-8034-2833,W000000369,2019-12-20
CT00000370,17864.11,6374-8443-4242-8346,W000000370,2019-01-15
CT00000371,26434.74,0696-2550-5310-3976,W000000371,2019-03-13
CT00000372,26199.71,8601-0920-8034-4307,W000000372,2021-03-03
CT00000373,22636.9,7319-5627-1217-6356,W000000373,2019-01-20
CT00000374,19460.73,7507-3839-9181-0424,W000000374,2021-12-29
CT00000375,15412.33,0733-9046-4195-9788,W000000375,2021-11-24
CT00000376,26238.36,0232-3424-4678-8086,W000000376,2019-05-20
CT00000377,17612.31,8328-7044-9397-2176,W000000377,2019-06-26
CT00000378,9330.66,1439-4114-7661-0234,W000000378,2020-01-13
CT00000379,31226.94,8937-8586-6955-2248,W000000379,2020-02-26
CT00000380,34001.35,7189-3579-7563-4326,W000000380,2019-12-13
CT00000381,17221.36,2506-9697-8266-0023,W000000381,2019-06-25
CT00000382,21195.94,4493-5026-0444-2644,W000000382,2020-08-18
CT00000383,11637.59,7049-1336-8007-7617,W000000383,2019-04-03
CT00000384,18651.52,4437-6894-1403-3894,W000000384,2020-06-25
CT00000385,19171.62,0408-5527-3866-7580,W000000385,2022-01-17
CT00000386,5653.17,8754-7373-6036-6548,W000000386,2022-03-12
CT00000387,4573.65,3837-7869-1347-9609,W000000387,2020-09-07
CT00000388,624.63,2695-8247-7954-8179,W000000388,2021-03-15
CT00000389,27141.92,3963-1002-1446-2105,W000000389,2019-11-01
CT00000390,22129.16,3907-5192-5404-6692,W000000390,2021-07-10
CT00000391,22760.83,2868-2780-3860-4134,W000000391,2022-01-05
CT00000392,34120.58,6298-5251-8460-0166,W000000392,2019-07-04
CT00000393,18004.1,9821-7573-2972-9027,W000000393,2019-06-25
CT00000394,27018.19,4426-9014-5213-1221,W000000394,2021-01-03
CT00000395,3037.41,7189-3579-7563-4326,W000000395,2019-12-27
CT00000396,32933.75,7518-2352-3948-0263,W000000396,2019-03-12
CT00000397,29268.02,4170-2414-5024-2249,W000000397,2021-11-19
