Top_up_Dedit_Card_ID,Amount,Debit_Card_Number,Wallet_ID,Top_Up_Date
DT00000049,9329.89,7361-7141-5442-0769,W000000049,2020-04-11
DT00000050,25195.48,9943-4709-1234-6219,W000000050,2019-12-08
DT00000051,14376.16,7620-2819-5260-7298,W000000051,2022-03-10
DT00000052,28036.11,6229-8270-7391-5261,W000000052,2019-03-14
DT00000053,34050.19,2623-0902-1714-1648,W000000053,2019-01-25
DT00000054,128.97,3546-2771-5014-5100,W000000054,2020-07-29
DT00000055,20560.89,1073-4332-9921-4121,W000000055,2020-03-19
DT00000056,1049.2,0963-3548-2233-3883,W000000056,2020-10-29
DT00000057,21335.12,8602-2511-8499-9697,W000000057,2019-03-03
DT00000058,28875.87,3731-8668-3444-2901,W000000058,2022-03-08
DT00000059,25622.57,9840-4093-8115-1906,W000000059,2020-05-14
DT00000060,25215.68,5272-3166-6171-9651,W000000060,2020-11-21
DT00000061,31852.72,0899-1199-1198-2732,W000000061,2021-04-13
DT00000062,21672.48,5915-1671-0574-9521,W000000062,2021-11-10
DT00000063,27611.94,2089-0870-4624-5241,W000000063,2021-08-24
DT00000064,31696.24,8513-6201-5105-4600,W000000064,2019-05-13
DT00000065,25948.01,4796-3201-0992-8818,W000000065,2022-02-05
DT00000066,11435.41,0562-3832-7193-7281,W000000066,2019-09-05
DT00000067,18702.29,9778-7982-3570-7689,W000000067,2019-01-02
DT00000068,15969.88,0294-0327-9175-5885,W000000068,2022-01-02
DT00000069,32692.29,6975-1694-7820-3504,W000000069,2022-02-28
DT00000070,17207.86,3298-2311-4219-0285,W000000070,2021-10-12
DT00000071,22134.21,6786-2637-4745-5275,W000000071,2020-11-01
DT00000072,19039.97,3571-5298-5934-8791,W000000072,2022-03-05
DT00000073,13971.4,3873-8852-3562-4435,W000000073,2021-05-22
DT00000074,1429.25,7792-3335-3816-1765,W000000074,2020-07-12
DT00000075,29614.33,3506-6507-1189-5550,W000000075,2020-04-20
DT00000076,31387.92,1784-9640-2177-2607,W000000076,2020-08-01
DT00000077,10603.43,1368-3015-7407-4452,W000000077,2021-08-05
DT00000078,7173.27,4048-5352-2592-6826,W000000078,2021-06-19
DT00000079,32809.88,1262-3879-1361-2906,W000000079,2021-08-27
DT00000080,16347.72,9708-5559-6353-5855,W000000080,2021-12-09
DT00000081,23681.94,0363-4952-7270-1676,W000000081,2020-06-23
DT00000082,7394.03,9019-1524-0674-9695,W000000082,2021-07-17
DT00000083,8376.03,6669-8473-6030-1787,W000000083,2021-01-31
DT00000084,31999.17,7366-3799-6858-0759,W000000084,2020-06-07
DT00000085,26660.74,3928-3781-6270-6508,W000000085,2019-07-03
DT00000086,32702.93,1872-2744-5345-3494,W000000086,2019-08-12
DT00000087,27031.43,2604-7323-0923-6795,W000000087,2020-02-06
DT00000088,8637.87,6835-5507-3298-9890,W000000088,2021-11-26
DT00000089,6467.58,7701-6883-3680-6996,W000000089,2021-01-31
DT00000090,28004.57,7381-5282-4235-2750,W000000090,2019-10-08
DT00000091,6565.41,7312-2550-2653-9598,W000000091,2022-01-28
DT00000092,5979.44,4344-9229-1121-5037,W000000092,2020-04-20
DT00000093,2356.84,9368-5145-0973-3682,W000000093,2019-06-13
DT00000094,24178.28,3369-8889-6129-2566,W000000094,2021-09-26
DT00000095,8588.91,3333-4388-2483-8606,W000000095,2021-12-25
DT00000096,7812.78,9237-5105-2401-4757,W000000096,2019-03-03
DT00000097,29706.74,6572-5505-1953-7831,W000000097,2021-12-23
DT00000098,31097.18,2179-7000-6014-9489,W000000098,2019-07-29
DT00000099,30238.41,9237-5105-2401-4757,W000000099,2019-10-22
DT00000100,13125.83,1479-7401-7985-3500,W000000100,2020-04-21
DT00000101,5379.34,5191-9826-6646-9761,W000000101,2020-09-01
DT00000102,23630.57,9917-9573-5113-1259,W000000102,2020-05-19
DT00000103,33777.54,4470-3659-8602-8642,W000000103,2021-07-29
DT00000104,18679.14,2420-4177-4086-6153,W000000104,2019-01-07
DT00000105,20091.58,6804-3086-0759-4581,W000000105,2019-06-03
DT00000106,20855.95,0662-7966-5311-3893,W000000106,2022-01-20
DT00000107,33493.08,7692-0005-2627-9211,W000000107,2019-05-30
DT00000108,13015.13,1116-1308-6580-2673,W000000108,2020-09-23
DT00000109,11101.89,9421-7793-1170-6739,W000000109,2019-01-28
DT00000110,28023.46,1975-2168-6566-4976,W000000110,2019-09-14
DT00000111,22462.32,6623-7531-0571-8195,W000000111,2021-01-04
DT00000112,14180.03,0081-9050-1396-6140,W000000112,2021-11-17
DT00000113,14155.71,2012-1460-5180-2916,W000000113,2020-09-10
DT00000114,9304.44,5676-9680-2220-7703,W000000114,2019-02-24
DT00000115,8442.96,9863-1351-7324-0830,W000000115,2019-06-09
DT00000116,7179.19,4872-0817-9020-8515,W000000116,2020-04-05
DT00000117,9178.51,4833-0294-2697-8737,W000000117,2021-02-17
DT00000118,33080.44,3431-4925-6739-9103,W000000118,2021-09-18
DT00000119,4560.34,7074-7180-7651-2593,W000000119,2019-03-10
DT00000120,11824.11,6258-9261-9161-4541,W000000120,2021-03-04
DT00000121,34036.83,4797-9804-0602-0050,W000000121,2020-02-22
DT00000122,32930.68,0568-1626-0166-9051,W000000122,2022-02-11
DT00000123,15947.62,7805-7345-1989-3773,W000000123,2020-02-20
DT00000124,22494.32,7361-7141-5442-0769,W000000124,2020-04-13
DT00000125,30472.63,2626-0626-9112-0385,W000000125,2021-05-22
DT00000126,30103.31,5784-0550-9360-2056,W000000126,2019-04-29
DT00000127,30277.44,5408-5425-2194-6657,W000000127,2019-08-02
DT00000128,9610.43,5516-7419-1422-9447,W000000128,2020-08-26
DT00000129,7465.26,4557-5483-9645-8175,W000000129,2020-10-06
DT00000130,20962.82,6107-7605-1159-5373,W000000130,2021-01-22
DT00000131,19480.47,6288-5048-9936-5564,W000000131,2021-10-24
DT00000132,17603.39,0773-6159-1307-9141,W000000132,2019-02-04
DT00000133,15967.45,2616-8181-4357-9032,W000000133,2019-05-27
DT00000134,2281.16,0087-6246-8654-1256,W000000134,2019-04-21
DT00000135,32108.44,4622-9728-7374-7727,W000000135,2022-03-12
DT00000136,8272.04,0977-3433-1272-7533,W000000136,2021-02-02
DT00000137,11751.16,4605-2960-3448-8691,W000000137,2019-12-30
DT00000138,13687.03,2348-9438-4557-3586,W000000138,2020-10-28
DT00000139,23840.08,5101-9730-5483-3247,W000000139,2020-07-05
DT00000140,4999.3,2010-9657-3002-1258,W000000140,2019-04-19
DT00000141,19563.24,2209-3746-7052-4960,W000000141,2019-04-01
DT00000142,15699.36,0267-3839-6883-0123,W000000142,2021-10-02
DT00000143,1202.67,0959-8651-0274-4295,W000000143,2020-03-11
DT00000144,7854.18,4815-2016-1622-3162,W000000144,2020-09-25
DT00000145,582.11,8609-7072-9627-5914,W000000145,2020-07-16
DT00000146,5467.67,3715-3870-2800-0903,W000000146,2019-06-09
DT00000147,32637.23,0553-2260-7234-5595,W000000147,2020-09-22
DT00000148,28706.8,0165-0684-2178-8672,W000000148,2019-01-05
DT00000149,12704.91,6068-9566-9283-9304,W000000149,2020-05-07
DT00000150,23830.63,8314-2365-4254-4756,W000000150,2021-08-11
DT00000151,3835.26,9013-2301-0214-6876,W000000151,2021-12-11
DT00000152,17870.09,0597-9497-0847-7542,W000000152,2019-08-26
DT00000153,28993.32,1814-6639-8105-9223,W000000153,2020-02-21
DT00000154,23003.5,7891-0298-3393-9097,W000000154,2019-01-30
DT00000155,3561.66,0758-8667-1112-4148,W000000155,2020-04-04
DT00000156,7151.18,8030-9563-9920-4402,W000000156,2020-06-22
DT00000157,10285.58,4761-3601-0783-0021,W000000157,2021-05-29
DT00000158,21015.61,3086-3441-2038-0713,W000000158,2021-07-27
DT00000159,32077.15,4545-4081-1170-5983,W000000159,2020-08-02
DT00000160,12312.75,1355-0158-3046-7580,W000000160,2019-05-09
DT00000161,23934.08,0939-5621-4685-5607,W000000161,2020-04-01
DT00000162,19069.67,9529-1783-5642-1487,W000000162,2019-09-24
DT00000163,3408.15,6393-6002-6570-1164,W000000163,2021-04-21
DT00000164,3306.43,9058-0487-6787-7433,W000000164,2022-03-01
DT00000165,18865.59,2658-4700-9915-8525,W000000165,2021-04-08
DT00000166,15614.07,0421-5215-1958-8176,W000000166,2019-01-03
DT00000167,8459.89,7698-7905-7451-7854,W000000167,2021-09-15
DT00000168,6487.98,1782-3864-6863-1184,W000000168,2021-03-18
DT00000169,28172.99,5721-8269-3593-0734,W000000169,2021-09-14
DT00000170,14248.18,3932-8932-1087-7986,W000000170,2019-05-22
DT00000171,9703.91,0550-9843-5154-6109,W000000171,2020-04-11
DT00000172,6622.3,6308-4383-2559-5657,W000000172,2021-03-11
DT00000173,16511.24,9547-3145-0970-9658,W000000173,2020-08-12
DT00000174,33015.85,7502-9878-5597-7261,W000000174,2021-08-20
DT00000175,30273.29,4328-4267-2678-3347,W000000175,2021-08-29
DT00000176,2445.37,4650-8596-2752-6073,W000000176,2020-07-01
DT00000177,6697.59,7507-8702-6182-7322,W000000177,2021-04-30
DT00000178,30515.56,8569-8345-2708-6909,W000000178,2019-05-29
DT00000179,3820.08,8562-4231-9651-0114,W000000179,2020-01-06
DT00000180,32418.21,5646-7162-0428-0743,W000000180,2022-03-09
DT00000181,6949.75,8713-2621-9449-8913,W000000181,2020-04-06
DT00000182,32973.96,0051-0765-2912-7711,W000000182,2020-12-09
DT00000183,29867.59,4910-6853-5054-1381,W000000183,2020-05-29
DT00000184,19201.59,6966-9634-7325-6979,W000000184,2021-03-18
DT00000185,13952.76,4923-8798-1061-7148,W000000185,2020-06-17
DT00000186,10185.38,5187-3374-2611-0780,W000000186,2020-07-06
DT00000187,23879.41,5447-5160-3998-4520,W000000187,2020-07-05
DT00000188,27721.65,5725-4419-0876-3257,W000000188,2020-04-13
DT00000189,2725.71,4310-2052-7251-0374,W000000189,2021-03-27
DT00000190,5291.94,0089-6967-6701-8206,W000000190,2020-01-27
DT00000191,31279.56,0363-4952-7270-1676,W000000191,2019-03-31
DT00000192,18441.93,5206-7341-4549-9204,W000000192,2021-07-08
DT00000193,15464.28,2358-0369-5975-7123,W000000193,2022-01-01
DT00000194,24681.15,9862-4010-4711-5593,W000000194,2020-06-20
DT00000195,27695.04,2527-5032-9427-9889,W000000195,2021-06-14
DT00000196,28430.93,8852-1940-8497-5277,W000000196,2020-04-21
DT00000197,21421.26,0995-2853-0771-8336,W000000197,2021-12-23
DT00000198,33502.95,0165-0684-2178-8672,W000000198,2019-02-07
DT00000199,31481.31,7271-4436-2978-2644,W000000199,2021-03-07
DT00000200,16757.13,6695-5573-4261-3181,W000000200,2021-10-17
DT00000201,14830.17,0657-1744-2600-6900,W000000201,2020-06-21
DT00000202,14312.75,1565-0858-8917-2793,W000000202,2021-02-09
DT00000203,4579.35,8513-6201-5105-4600,W000000203,2021-02-14
DT00000204,13434.59,4390-2329-9688-5528,W000000204,2019-11-04
DT00000205,960.44,9467-0895-3888-3327,W000000205,2020-07-16
DT00000206,20050.91,9159-1750-8453-1652,W000000206,2022-02-16
DT00000207,2584.31,2375-8442-3752-5293,W000000207,2020-04-28
DT00000208,5531.16,9502-5839-5898-5394,W000000208,2019-02-07
DT00000209,9719.1,7697-0071-2265-8532,W000000209,2019-04-25
DT00000210,13982.24,7062-8173-7873-3745,W000000210,2019-01-05
DT00000211,34772.17,6975-1694-7820-3504,W000000211,2021-12-17
DT00000212,14769.04,4048-5352-2592-6826,W000000212,2019-06-01
DT00000213,15983.77,1394-7689-7909-0642,W000000213,2022-01-20
DT00000214,15217.3,5646-7162-0428-0743,W000000214,2020-10-29
DT00000215,5305.08,5748-6443-7226-7241,W000000215,2021-08-12
DT00000216,6557.25,2271-2096-7453-6732,W000000216,2020-08-06
DT00000217,27532.76,4401-4068-1683-9137,W000000217,2019-08-03
DT00000218,19734.29,9930-3888-4704-3262,W000000218,2021-03-29
DT00000219,34739.35,0278-0763-1382-4370,W000000219,2021-01-22
DT00000220,16235.65,3258-5562-4671-1494,W000000220,2019-05-12
DT00000221,384.93,9650-1455-8667-5594,W000000221,2021-10-23
DT00000222,14618.81,6258-9261-9161-4541,W000000222,2020-10-13
DT00000223,8323.28,3671-4447-9971-2355,W000000223,2020-08-15
DT00000224,21520.32,0359-9500-3906-4320,W000000224,2020-02-01
DT00000225,3525.29,0360-9795-4977-7920,W000000225,2021-10-20
DT00000226,30836.21,2396-3502-5328-9528,W000000226,2021-04-08
DT00000227,33638.83,4806-5709-3758-8440,W000000227,2020-04-14
DT00000228,4271.18,6572-5505-1953-7831,W000000228,2019-01-28
DT00000229,5850.46,9929-0896-2730-6062,W000000229,2019-05-27
DT00000230,33137.97,1782-3864-6863-1184,W000000230,2021-12-21
DT00000231,3497.88,5400-0815-8163-6745,W000000231,2021-11-12
DT00000232,6937.66,4605-2960-3448-8691,W000000232,2019-11-23
DT00000233,2667.45,3291-5710-0239-8813,W000000233,2019-09-03
DT00000234,29685.46,9210-0688-6160-1112,W000000234,2021-02-23
DT00000235,689.89,3618-2019-3861-6377,W000000235,2021-09-01
DT00000236,8874.81,4067-4728-3000-7462,W000000236,2021-08-01
DT00000237,16761.84,0272-4298-2366-9911,W000000237,2020-07-23
DT00000238,32169.06,4990-4547-7166-1669,W000000238,2019-05-08
DT00000239,30559.88,7312-2550-2653-9598,W000000239,2021-04-04
DT00000240,1297.2,3344-5890-9322-0255,W000000240,2020-11-15
DT00000241,6414.98,4949-3700-5655-7245,W000000241,2019-02-15
DT00000242,21906.22,1310-9163-5476-2555,W000000242,2020-06-17
DT00000243,21063.27,8050-4303-3971-8805,W000000243,2020-07-19
DT00000244,20013.13,3408-2107-3578-2307,W000000244,2019-05-08
DT00000245,557.38,8518-0224-4140-7956,W000000245,2020-01-29
DT00000246,28164.25,5544-5341-3439-5290,W000000246,2019-04-20
DT00000247,14095.13,2569-5305-6601-1189,W000000247,2020-12-11
DT00000248,21006.66,6576-1418-4076-3991,W000000248,2020-07-31
DT00000249,7566.11,0706-0260-3146-4172,W000000249,2021-12-18
DT00000250,14678.63,9943-4709-1234-6219,W000000250,2020-11-05
DT00000251,1507.24,4594-7646-9188-4740,W000000251,2020-10-09
DT00000252,25210.59,0338-3256-6064-9472,W000000252,2019-10-10
DT00000253,17699.04,7810-0870-6983-8909,W000000253,2021-05-01
DT00000254,2059.4,2919-2651-4795-3951,W000000254,2019-01-24
DT00000255,15214.79,2505-9166-0230-0676,W000000255,2021-07-18
DT00000256,4120.69,3589-0536-1621-1226,W000000256,2019-02-13
DT00000257,30837.35,0160-4032-5107-2435,W000000257,2021-08-01
DT00000258,19435.58,5708-8529-4850-4067,W000000258,2020-01-16
DT00000259,23141.21,0570-4644-8773-8596,W000000259,2019-07-15
DT00000260,24310.37,2821-5334-2097-8035,W000000260,2021-02-11
DT00000261,9220.89,4227-6918-5382-9187,W000000261,2020-07-07
DT00000262,26140.53,2704-9052-6084-3959,W000000262,2021-04-28
DT00000263,11603.57,2835-1926-6629-2136,W000000263,2020-11-12
DT00000264,21927.79,4084-6431-3910-5019,W000000264,2021-06-22
DT00000265,24149.77,0693-3678-6514-1835,W000000265,2020-11-11
DT00000266,14568.68,8995-4350-9121-6705,W000000266,2020-10-03
DT00000267,20252.01,2537-7808-7775-7920,W000000267,2021-01-16
DT00000268,18747.36,9472-4732-5944-3930,W000000268,2021-08-25
DT00000269,22437.37,5934-9543-9049-3701,W000000269,2020-11-25
DT00000270,234.21,7870-0207-1314-1554,W000000270,2020-12-26
DT00000271,30581.54,2051-6113-5417-6350,W000000271,2020-05-10
DT00000272,12620.82,4037-6878-5153-9015,W000000272,2020-12-16
DT00000273,21323.09,8579-7333-1297-9546,W000000273,2020-10-29
DT00000274,21022.7,9969-3868-3376-3245,W000000274,2020-08-20
DT00000275,21020.9,5010-8164-7494-4351,W000000275,2021-11-22
DT00000276,9347.61,1862-8113-4773-7981,W000000276,2020-04-26
DT00000277,31195.83,7419-2532-9052-0497,W000000277,2020-05-11
DT00000278,8731.95,4390-2329-9688-5528,W000000278,2019-06-14
DT00000279,16627.2,6091-9525-2711-0040,W000000279,2020-08-09
DT00000280,11938.23,1046-1449-5632-2347,W000000280,2021-11-14
DT00000281,10195.66,5941-0305-0199-1724,W000000281,2019-03-09
DT00000282,25444.87,9718-7080-3090-7917,W000000282,2020-05-21
DT00000283,21975.72,2348-9438-4557-3586,W000000283,2020-03-08
DT00000284,33210.03,1836-7104-9024-0703,W000000284,2021-06-03
DT00000285,12857.64,9793-0621-7135-2189,W000000285,2021-03-07
DT00000286,27036.13,7794-6458-8449-8177,W000000286,2020-06-24
DT00000287,13516.53,9632-5707-9189-4080,W000000287,2019-09-19
DT00000288,17743.05,0698-6507-1228-4690,W000000288,2019-06-12
DT00000289,6947.68,1419-8839-1421-5452,W000000289,2020-05-26
DT00000290,17706.16,5177-6945-0304-7852,W000000290,2019-08-25
DT00000291,14653.41,5808-9338-3880-5436,W000000291,2019-11-15
DT00000292,24282.7,7502-9878-5597-7261,W000000292,2022-01-29
DT00000293,34531.52,7087-9430-7185-0859,W000000293,2019-08-22
DT00000294,27156.14,0545-3246-4871-6671,W000000294,2021-10-03
DT00000295,19914.41,7064-6548-9747-3737,W000000295,2020-12-11
DT00000296,6273.29,5934-9543-9049-3701,W000000296,2020-03-10
DT00000297,18235.18,8030-9563-9920-4402,W000000297,2019-04-17
DT00000298,31682.79,3140-9449-6462-0925,W000000298,2020-08-27
DT00000299,10839.97,3086-3441-2038-0713,W000000299,2020-03-18
DT00000300,17064.7,4706-8908-3663-4053,W000000300,2021-11-10
DT00000301,11869.65,7788-0120-5704-9571,W000000301,2019-03-26
DT00000302,7507.53,7713-6804-1463-5933,W000000302,2020-03-23
DT00000303,30760.06,4761-3601-0783-0021,W000000303,2019-07-19
DT00000304,33286.97,7249-0684-3579-2328,W000000304,2019-10-25
DT00000305,22343.72,2143-0028-8437-5901,W000000305,2019-07-01
DT00000306,12261.7,3145-3559-9657-4304,W000000306,2020-12-29
DT00000307,11361.58,9615-1693-3795-6876,W000000307,2021-06-09
DT00000308,18428.36,3680-1406-1472-9039,W000000308,2019-02-20
DT00000309,4313.52,0555-9316-8805-3938,W000000309,2019-02-09
DT00000310,2053.88,7382-7910-5378-3283,W000000310,2021-08-13
DT00000311,19137.69,3873-8852-3562-4435,W000000311,2019-04-25
DT00000312,10421.85,0408-0393-3447-0678,W000000312,2020-10-02
DT00000313,23912.14,3502-1209-5100-9625,W000000313,2022-01-03
DT00000314,11426.82,2485-8614-7359-0369,W000000314,2020-05-12
DT00000315,1739.25,5505-6689-7339-9100,W000000315,2022-03-07
DT00000316,6539.59,8538-6214-5893-0797,W000000316,2020-10-31
DT00000317,14873.51,5228-5230-8095-9063,W000000317,2021-08-29
DT00000318,17091.32,0341-8328-9595-8031,W000000318,2019-06-05
DT00000319,3883.05,6719-0873-5208-0106,W000000319,2020-10-21
DT00000320,31871.74,0999-8261-3502-0592,W000000320,2021-08-09
DT00000321,21858.18,6462-8986-0447-4741,W000000321,2019-07-10
DT00000322,15579.63,9420-4019-1049-1498,W000000322,2022-01-20
DT00000323,8217.22,8326-9811-8620-8562,W000000323,2021-12-13
DT00000324,11306.77,2732-6377-2815-2727,W000000324,2022-01-21
DT00000325,12408.64,1587-4331-9363-8447,W000000325,2021-01-07
DT00000326,21973.56,6546-4247-9879-9250,W000000326,2021-02-23
DT00000327,12627.65,4707-4192-8463-3803,W000000327,2020-08-07
DT00000328,14613.49,3145-3559-9657-4304,W000000328,2021-11-22
DT00000329,27518.9,1136-3687-3853-5997,W000000329,2019-09-30
DT00000330,16671.14,1276-1631-2414-3107,W000000330,2020-06-04
DT00000331,16237.34,6788-6615-9252-5904,W000000331,2019-07-24
DT00000332,12135.3,2508-6785-0376-9249,W000000332,2019-06-16
DT00000333,29588.69,5772-8871-2668-0386,W000000333,2019-10-22
DT00000334,17810.44,7329-5813-2708-1026,W000000334,2021-06-15
DT00000335,29604.99,5721-8269-3593-0734,W000000335,2021-09-09
DT00000336,8147.29,0457-9890-0902-7971,W000000336,2021-05-11
DT00000337,11475.5,4620-5492-4929-0891,W000000337,2021-10-10
DT00000338,688.79,0051-0765-2912-7711,W000000338,2021-09-23
DT00000339,29169.87,2097-4145-8377-2309,W000000339,2019-05-02
DT00000340,26145.59,1366-9127-0625-5878,W000000340,2019-03-29
DT00000341,24642.38,2195-0518-4185-8099,W000000341,2020-04-04
DT00000342,31050.87,8541-1334-4626-9179,W000000342,2020-12-31
DT00000343,6851.97,4163-7489-7568-7685,W000000343,2020-07-10
DT00000344,5132.67,1966-9132-8481-2746,W000000344,2020-11-11
DT00000345,24203.51,8404-8383-2084-6804,W000000345,2020-10-29
DT00000346,19487.72,5436-6843-5064-2811,W000000346,2020-11-07
DT00000347,12186.87,4731-6656-0650-5473,W000000347,2020-08-05
DT00000348,20368.75,0294-0327-9175-5885,W000000348,2019-07-29
DT00000349,30475.63,3452-1285-1492-8656,W000000349,2022-01-26
DT00000350,20597.4,5536-4974-3184-3426,W000000350,2019-10-19
DT00000351,33996.44,9058-1641-8681-3441,W000000351,2021-07-07
DT00000352,7825.42,7482-6658-7165-7280,W000000352,2020-05-13
DT00000353,27701.7,7882-3055-6724-2038,W000000353,2021-11-02
DT00000354,19136.99,5391-5200-4968-3713,W000000354,2020-07-09
DT00000355,34248.7,8543-6150-5508-8941,W000000355,2022-01-19
DT00000356,21951.35,4804-6985-7932-2701,W000000356,2019-08-15
DT00000357,2789.06,5386-4579-6348-6495,W000000357,2020-09-04
DT00000358,8456.58,0631-4647-0990-0981,W000000358,2019-11-05
DT00000359,27358.78,6558-6220-8140-5622,W000000359,2020-03-01
DT00000360,13917.76,2977-9297-2597-1343,W000000360,2020-09-20
DT00000361,29699.12,8696-2272-6887-9547,W000000361,2019-07-30
DT00000362,2119.85,1699-9893-3949-3678,W000000362,2021-05-02
DT00000363,12096.38,5386-4579-6348-6495,W000000363,2019-08-01
DT00000364,34936.19,2012-1460-5180-2916,W000000364,2020-11-01
DT00000365,16851.88,3320-1883-4649-7632,W000000365,2021-12-21
DT00000366,836.4,1368-3015-7407-4452,W000000366,2019-02-12
DT00000367,16702.25,4342-9938-0770-2720,W000000367,2019-08-26
DT00000368,24178.98,4622-9728-7374-7727,W000000368,2019-05-17
DT00000369,34551.46,1623-5771-6265-7406,W000000369,2019-12-20
DT00000370,5830.28,6988-7178-5500-9804,W000000370,2019-01-15
DT00000371,26751.11,0421-5215-1958-8176,W000000371,2019-03-13
DT00000372,21556.83,1495-6591-9842-9295,W000000372,2021-03-03
DT00000373,7130.33,3403-9297-6040-3690,W000000373,2019-01-20
DT00000374,22707.8,2923-3741-6723-5622,W000000374,2021-12-29
DT00000375,2237.44,4335-6467-7189-8583,W000000375,2021-11-24
DT00000376,14062.08,8569-8345-2708-6909,W000000376,2019-05-20
DT00000377,18104.11,0492-3757-3246-8983,W000000377,2019-06-26
DT00000378,8201.8,8609-7072-9627-5914,W000000378,2020-01-13
DT00000379,33888.06,0144-0756-6982-2663,W000000379,2020-02-26
DT00000380,7677.72,4410-2772-9963-5720,W000000380,2019-12-13
DT00000381,31703.59,4713-2475-4926-6753,W000000381,2019-06-25
DT00000382,1175.3,9420-4019-1049-1498,W000000382,2020-08-18
DT00000383,21937.28,3650-7747-8892-2368,W000000383,2019-04-03
DT00000384,17407.0,5167-0411-4778-2728,W000000384,2020-06-25
DT00000385,13985.81,7826-7648-6673-0506,W000000385,2022-01-17
DT00000386,17948.65,1355-0158-3046-7580,W000000386,2022-03-12
DT00000387,25877.89,8973-6296-8305-8517,W000000387,2020-09-07
DT00000388,180.33,0888-0051-9409-1145,W000000388,2021-03-15
DT00000389,10059.26,7854-3913-7747-5509,W000000389,2019-11-01
DT00000390,29948.98,1802-7884-4365-8886,W000000390,2021-07-10
DT00000391,7881.65,2449-6418-2668-9674,W000000391,2022-01-05
DT00000392,21221.36,7249-0684-3579-2328,W000000392,2019-07-04
DT00000393,18239.3,3816-5624-1806-1830,W000000393,2019-06-25
DT00000394,9653.61,4347-8515-9060-0813,W000000394,2021-01-03
DT00000395,31161.25,0632-1508-5552-8556,W000000395,2019-12-27
DT00000396,4842.34,4557-5483-9645-8175,W000000396,2019-03-12
DT00000397,22256.9,3671-4447-9971-2355,W000000397,2021-11-19
