Top_up_BankNum_ID,Amount,Bank_Num,Wallet_ID,Top_Up_Date
BT00000362,5229.68,759-701680-9,W000000362,2021-05-02
BT00000363,11822.03,206-890901-9,W000000363,2019-08-01
BT00000364,22186.24,119-721042-7,W000000364,2020-11-01
BT00000365,8663.5,638-443146-9,W000000365,2021-12-21
BT00000366,19350.31,720-196232-3,W000000366,2019-02-12
BT00000367,9128.12,840-601115-9,W000000367,2019-08-26
BT00000368,30573.21,289-308127-7,W000000368,2019-05-17
BT00000369,1582.31,877-272122-2,W000000369,2019-12-20
BT00000370,24794.83,091-149986-6,W000000370,2019-01-15
BT00000371,17228.9,752-719470-4,W000000371,2019-03-13
BT00000372,852.35,325-438960-4,W000000372,2021-03-03
BT00000373,31487.63,301-079244-9,W000000373,2019-01-20
BT00000374,10768.46,033-990959-6,W000000374,2021-12-29
BT00000375,12807.84,792-120948-3,W000000375,2021-11-24
BT00000376,34058.32,705-542455-5,W000000376,2019-05-20
BT00000377,23388.7,290-461611-1,W000000377,2019-06-26
BT00000378,6628.6,205-956219-5,W000000378,2020-01-13
BT00000379,14847.67,892-463693-7,W000000379,2020-02-26
BT00000380,5761.91,258-673392-0,W000000380,2019-12-13
BT00000381,8619.4,073-666306-4,W000000381,2019-06-25
BT00000382,27306.7,674-487541-9,W000000382,2020-08-18
BT00000383,21788.88,095-976375-7,W000000383,2019-04-03
BT00000384,13479.45,453-473017-3,W000000384,2020-06-25
BT00000385,26832.99,625-438016-0,W000000385,2022-01-17
BT00000386,2967.96,910-069850-1,W000000386,2022-03-12
BT00000387,21805.9,977-365810-0,W000000387,2020-09-07
BT00000388,6969.02,276-979976-3,W000000388,2021-03-15
BT00000389,15197.95,138-938001-0,W000000389,2019-11-01
BT00000390,8222.54,803-452954-9,W000000390,2021-07-10
BT00000391,27405.37,924-419963-3,W000000391,2022-01-05
BT00000392,16183.1,025-419744-1,W000000392,2019-07-04
BT00000393,5077.08,385-864886-9,W000000393,2019-06-25
BT00000394,25274.66,148-045647-3,W000000394,2021-01-03
BT00000395,12317.12,013-921491-2,W000000395,2019-12-27
BT00000396,23296.5,711-577331-9,W000000396,2019-03-12
BT00000397,23008.72,263-241864-7,W000000397,2021-11-19
BT00000398,16854.51,500-054553-6,W000000398,2019-06-07
BT00000399,31834.0,414-556309-0,W000000399,2020-09-11
BT00000400,11141.94,448-508483-7,W000000400,2019-01-25
BT00000401,28299.7,538-272262-5,W000000401,2021-04-14
BT00000402,34903.24,577-318775-4,W000000402,2021-09-16
BT00000403,9174.22,044-091328-4,W000000403,2019-08-14
BT00000404,8529.49,036-017906-0,W000000404,2022-02-08
BT00000405,4066.51,342-544322-9,W000000405,2019-05-25
BT00000406,6737.12,815-702947-8,W000000406,2021-02-09
BT00000407,26002.08,447-794916-9,W000000407,2019-04-27
BT00000408,4399.38,537-818236-9,W000000408,2019-11-11
BT00000409,21150.39,518-131357-8,W000000409,2020-06-26
BT00000410,11297.62,871-529115-8,W000000410,2020-01-04
BT00000411,11318.43,153-060693-5,W000000411,2019-10-26
BT00000412,12049.4,275-854734-5,W000000412,2021-07-11
BT00000413,9857.12,221-845654-0,W000000413,2021-12-12
BT00000414,27552.39,987-312411-2,W000000414,2020-06-06
BT00000415,25967.71,846-108247-0,W000000415,2021-03-11
BT00000416,3664.46,032-494836-0,W000000416,2020-07-12
BT00000417,28805.64,283-519517-7,W000000417,2019-08-02
BT00000418,31628.01,399-698729-3,W000000418,2020-10-15
BT00000419,23391.47,353-140455-1,W000000419,2019-01-10
BT00000420,20800.42,199-837452-5,W000000420,2019-07-13
BT00000421,26384.19,774-982339-8,W000000421,2019-10-18
BT00000422,27273.05,756-046038-0,W000000422,2019-08-19
BT00000423,7476.64,654-314614-9,W000000423,2019-09-25
BT00000424,18329.64,743-665251-9,W000000424,2019-12-01
BT00000425,11677.38,259-601290-5,W000000425,2019-11-06
BT00000426,7441.62,349-904993-6,W000000426,2021-12-09
BT00000427,24417.82,655-122927-7,W000000427,2020-07-28
BT00000428,7579.78,499-181995-4,W000000428,2022-01-15
BT00000429,5921.24,881-411688-2,W000000429,2020-01-09
BT00000430,10174.51,523-078643-9,W000000430,2019-12-02
BT00000431,9042.94,579-858656-1,W000000431,2020-08-05
BT00000432,31612.39,062-806307-5,W000000432,2021-05-26
BT00000433,7314.44,235-201940-5,W000000433,2021-06-30
BT00000434,26202.48,907-037382-2,W000000434,2021-04-17
BT00000435,34690.03,648-273684-7,W000000435,2019-05-05
BT00000436,20844.21,457-288690-0,W000000436,2019-09-03
BT00000437,10436.5,518-131357-8,W000000437,2021-09-02
BT00000438,1079.73,210-986214-9,W000000438,2022-02-20
BT00000439,273.89,965-126861-2,W000000439,2020-06-11
BT00000440,21019.08,564-587559-8,W000000440,2021-03-03
BT00000441,34350.9,447-877112-8,W000000441,2020-02-14
BT00000442,28144.59,446-410705-2,W000000442,2021-10-15
BT00000443,9743.59,997-336385-3,W000000443,2020-10-09
BT00000444,14178.11,172-078576-5,W000000444,2021-04-20
BT00000445,11591.33,738-434168-3,W000000445,2019-08-07
BT00000446,20809.87,781-871484-4,W000000446,2020-02-15
BT00000447,4930.92,063-747676-3,W000000447,2021-05-15
BT00000448,23830.95,576-489744-6,W000000448,2021-07-12
BT00000449,5528.85,720-196232-3,W000000449,2021-09-07
BT00000450,28623.92,877-155661-5,W000000450,2022-01-31
BT00000451,12603.95,866-798620-1,W000000451,2020-04-04
BT00000452,19177.29,377-352549-4,W000000452,2019-03-27
BT00000453,25937.94,739-912963-9,W000000453,2019-04-26
BT00000454,21430.57,347-329995-5,W000000454,2019-01-14
BT00000455,34182.08,228-844757-9,W000000455,2020-10-12
BT00000456,3628.16,577-318775-4,W000000456,2019-04-13
BT00000457,7887.5,640-956480-2,W000000457,2020-08-05
BT00000458,28584.72,320-098216-3,W000000458,2020-02-27
BT00000459,20706.69,446-047410-4,W000000459,2019-06-12
BT00000460,27011.96,235-332675-7,W000000460,2019-06-02
BT00000461,32043.37,281-743778-3,W000000461,2020-07-25
BT00000462,1319.5,941-876188-8,W000000462,2020-05-17
BT00000463,4118.42,405-700472-4,W000000463,2020-08-06
BT00000464,16153.84,831-386310-6,W000000464,2020-01-21
