Top_up_Credit_Card_ID,Balanced,Credit_Card_Number,Wallet_ID,Top_Up_Date
CT00000074,705097.69,1644-7104-3570-6624,W000000074,2021-05-28
CT00000075,155914.37,5115-7583-5830-7948,W000000075,2021-03-03
CT00000076,242044.97,3069-0121-2570-2980,W000000076,2019-01-20
CT00000077,626404.44,5695-1131-4544-3933,W000000077,2021-05-10
CT00000078,805911.23,5691-9031-3584-2377,W000000078,2020-02-01
CT00000079,933176.96,1402-1421-3597-8801,W000000079,2019-05-09
CT00000080,414346.07,2689-8621-4583-0841,W000000080,2020-11-06
CT00000081,962520.08,7346-4690-0810-8003,W000000081,2019-03-04
CT00000082,933846.45,3653-7924-1561-2678,W000000082,2019-07-03
CT00000083,617502.95,4156-1167-5601-0423,W000000083,2020-08-21
CT00000084,331833.37,5306-9476-6056-6090,W000000084,2021-08-25
CT00000085,852856.71,1871-5244-2036-8585,W000000085,2021-10-29
CT00000086,338324.87,0653-5540-5293-7016,W000000086,2020-10-12
CT00000087,832441.75,4638-8104-6927-1824,W000000087,2019-04-20
CT00000088,342768.31,1625-8439-6426-4867,W000000088,2019-01-11
CT00000089,318732.64,7536-6438-0976-1389,W000000089,2019-11-16
CT00000090,996906.44,3006-7794-1303-5702,W000000090,2019-01-08
CT00000091,539230.28,4551-7599-0593-9439,W000000091,2019-03-15
CT00000092,354387.9,7279-6828-1956-9879,W000000092,2021-06-01
CT00000093,638103.95,3454-1918-9172-7760,W000000093,2019-11-25
CT00000094,874971.65,3367-6257-6115-3186,W000000094,2022-02-24
CT00000095,146691.35,6163-0789-0850-0805,W000000095,2020-04-30
CT00000096,984459.03,1079-8448-7320-9135,W000000096,2022-02-19
CT00000097,339873.23,4694-3538-2424-5121,W000000097,2020-06-18
CT00000098,719273.41,5159-8614-8850-9751,W000000098,2021-12-03
CT00000099,592676.67,2770-4888-4221-6150,W000000099,2020-03-14
CT00000100,568835.73,4668-3338-0116-5533,W000000100,2021-09-28
CT00000101,68356.3,3973-8319-5589-2260,W000000101,2019-11-30
CT00000102,840033.52,1773-2363-4101-0761,W000000102,2019-04-04
CT00000103,211057.85,4489-9174-8106-4487,W000000103,2021-05-29
CT00000104,483927.09,3804-6974-0999-7894,W000000104,2019-01-09
CT00000105,22662.78,0885-2180-2449-0313,W000000105,2021-01-03
CT00000106,572366.87,1591-3478-6753-9432,W000000106,2020-07-07
CT00000107,809825.27,2482-7493-8881-7495,W000000107,2019-01-09
CT00000108,417803.56,5507-3429-9959-9155,W000000108,2020-09-28
CT00000109,441389.51,2893-1083-4250-6155,W000000109,2019-11-10
CT00000110,96614.42,7352-3452-0476-9337,W000000110,2020-02-18
CT00000111,765716.06,8107-9259-5432-3725,W000000111,2019-11-30
CT00000112,799554.75,5863-8019-2435-1110,W000000112,2021-09-14
CT00000113,204368.24,2747-1357-9530-6120,W000000113,2021-11-10
CT00000114,446726.68,5573-8411-7686-0019,W000000114,2019-08-05
CT00000115,132716.46,2501-6169-2642-5028,W000000115,2020-10-11
CT00000116,892588.04,0295-5184-9265-4563,W000000116,2020-05-08
CT00000117,732218.04,6077-8058-1146-1532,W000000117,2019-06-12
CT00000118,267414.14,9724-1309-3413-2149,W000000118,2021-01-29
CT00000119,806665.5,4331-3490-2497-9956,W000000119,2019-10-24
CT00000120,7173.63,7748-1690-2796-3469,W000000120,2020-04-05
CT00000121,721056.29,5507-3429-9959-9155,W000000121,2019-10-21
CT00000122,555823.3,5816-9179-3653-1518,W000000122,2021-12-17
CT00000123,123486.25,0380-3570-3623-7715,W000000123,2020-04-30
CT00000124,475961.14,3139-3788-7457-6191,W000000124,2021-06-08
CT00000125,61189.41,6451-3374-1471-0685,W000000125,2019-10-20
CT00000126,481514.55,3990-3237-2486-2054,W000000126,2019-05-24
CT00000127,953481.34,1448-3467-0572-8475,W000000127,2021-03-26
CT00000128,63094.26,6976-6738-8997-1263,W000000128,2019-03-29
CT00000129,474916.46,3531-1225-2694-1091,W000000129,2020-12-02
CT00000130,531100.43,6047-6042-6903-1476,W000000130,2022-01-24
CT00000131,477048.87,2770-4888-4221-6150,W000000131,2021-12-31
CT00000132,54640.86,3990-3237-2486-2054,W000000132,2020-09-16
CT00000133,161812.87,2563-4127-8788-1092,W000000133,2019-12-31
CT00000134,988107.98,2248-2365-0172-9584,W000000134,2021-03-07
CT00000135,188699.31,9862-3864-7292-8228,W000000135,2021-09-16
CT00000136,446051.11,5265-9623-1044-3448,W000000136,2019-08-03
CT00000137,288332.89,2965-5284-5577-7220,W000000137,2022-01-25
CT00000138,652330.26,6950-5025-3187-4606,W000000138,2020-07-01
CT00000139,103038.02,7083-3151-5909-4224,W000000139,2020-07-06
CT00000140,881503.96,5805-6438-7463-9584,W000000140,2019-09-01
CT00000141,813915.8,2381-4925-9326-3498,W000000141,2020-06-08
CT00000142,189240.14,6984-2657-2849-6852,W000000142,2019-05-17
CT00000143,414813.36,5510-5439-0733-1351,W000000143,2020-09-24
CT00000144,120887.33,4820-5986-7909-5135,W000000144,2019-12-19
CT00000145,65821.25,6561-1814-9337-5750,W000000145,2020-10-11
CT00000146,949177.22,9959-3791-8327-5451,W000000146,2020-03-24
CT00000147,191917.92,3043-5711-0302-5088,W000000147,2020-03-15
CT00000148,138114.35,4699-1886-8935-0981,W000000148,2021-04-04
CT00000149,885716.74,7587-4006-8717-4829,W000000149,2020-11-02
CT00000150,879240.55,2545-9392-9982-9044,W000000150,2020-09-16
CT00000151,121930.21,6504-8306-3718-9531,W000000151,2020-06-06
CT00000152,986129.24,3410-0880-0976-8494,W000000152,2021-07-26
CT00000153,114152.07,1625-8439-6426-4867,W000000153,2021-05-15
CT00000154,597562.7,7417-0034-0867-1669,W000000154,2019-07-21
CT00000155,428941.66,4162-4869-4649-3380,W000000155,2019-04-23
CT00000156,558918.61,5849-6210-3210-6709,W000000156,2021-02-28
CT00000157,926805.15,5173-3700-7455-2056,W000000157,2020-05-16
CT00000158,788832.76,7727-5721-6868-6160,W000000158,2020-05-05
CT00000159,415788.88,3347-3722-9913-3532,W000000159,2019-09-28
CT00000160,221625.56,3854-5339-5966-9028,W000000160,2021-07-14
CT00000161,700096.77,2022-2630-0732-2082,W000000161,2019-05-07
CT00000162,689287.18,4108-6787-2199-5024,W000000162,2022-02-21
CT00000163,801712.36,4694-3538-2424-5121,W000000163,2019-09-18
CT00000164,197896.76,1333-4330-7563-4299,W000000164,2022-01-14
CT00000165,619439.58,1254-8026-6553-2027,W000000165,2019-07-28
CT00000166,203535.51,3645-5268-0487-5532,W000000166,2019-01-28
CT00000167,908512.04,7531-8243-1647-2269,W000000167,2021-05-20
CT00000168,737204.68,2336-0472-6447-7797,W000000168,2019-02-12
CT00000169,96132.18,1215-5261-7975-4112,W000000169,2019-12-18
CT00000170,600474.64,4972-1677-4180-0575,W000000170,2019-08-11
CT00000171,220223.19,9573-5035-6116-5806,W000000171,2021-08-13
CT00000172,741472.61,0056-7753-9228-2861,W000000172,2021-12-17
CT00000173,768885.43,7390-0520-5725-0050,W000000173,2020-12-14
CT00000174,247586.39,0949-9886-7178-4923,W000000174,2020-05-05
CT00000175,282522.93,9813-6950-5040-2637,W000000175,2021-04-12
CT00000176,292714.92,7759-9278-2077-8540,W000000176,2019-07-19
CT00000177,971056.68,3278-4398-9532-4617,W000000177,2020-10-14
CT00000178,178152.79,2340-8453-6496-5494,W000000178,2020-02-13
CT00000179,83685.44,5371-5890-6115-8572,W000000179,2020-10-29
CT00000180,109416.58,1513-6975-6590-7042,W000000180,2022-03-01
CT00000181,788051.66,1333-4330-7563-4299,W000000181,2021-03-30
CT00000182,80856.0,7936-5803-1065-9607,W000000182,2021-06-30
CT00000183,536105.76,8641-2070-7281-7683,W000000183,2020-09-06
CT00000184,884732.3,2966-1728-3513-2612,W000000184,2021-07-21
CT00000185,715431.41,2749-9267-7859-5098,W000000185,2020-11-19
CT00000186,192006.64,9034-4681-6912-3531,W000000186,2020-11-23
CT00000187,170882.88,7261-8194-3935-2341,W000000187,2021-04-04
CT00000188,657066.83,4021-0143-0082-0502,W000000188,2019-04-11
CT00000189,577588.44,7498-1370-6878-1032,W000000189,2021-06-23
CT00000190,27454.54,7587-4006-8717-4829,W000000190,2020-06-21
CT00000191,871494.78,4812-6138-2026-3238,W000000191,2019-03-13
CT00000192,489551.93,5097-8362-7938-0412,W000000192,2019-10-29
CT00000193,505549.63,2428-4234-7237-1602,W000000193,2020-09-18
CT00000194,153386.45,7043-1615-8026-6697,W000000194,2019-05-28
CT00000195,763428.76,8625-7401-8020-9563,W000000195,2020-07-29
CT00000196,607556.87,3993-7862-4564-8532,W000000196,2019-08-11
CT00000197,66396.83,3099-6030-4987-6564,W000000197,2022-02-16
CT00000198,216292.02,4262-4149-3256-7831,W000000198,2020-11-04
CT00000199,248822.97,3150-7787-2350-8426,W000000199,2022-03-08
CT00000200,887426.16,7261-8194-3935-2341,W000000200,2019-07-21
CT00000201,683487.04,0864-3110-9384-6285,W000000201,2021-10-30
CT00000202,617910.23,3053-6804-8181-3292,W000000202,2019-10-14
CT00000203,46937.99,7101-4706-3575-5318,W000000203,2021-03-02
CT00000204,998114.79,9681-3507-8648-4862,W000000204,2021-10-02
CT00000205,254216.28,2646-2416-0727-8379,W000000205,2021-02-09
CT00000206,641422.34,7773-1282-6147-8266,W000000206,2019-03-14
CT00000207,599831.69,4889-1192-7231-6086,W000000207,2020-05-04
CT00000208,17409.56,4735-6316-7454-6417,W000000208,2020-05-27
CT00000209,172917.44,6812-4755-3762-0348,W000000209,2022-02-07
CT00000210,123712.79,2399-2732-8150-8644,W000000210,2019-01-07
CT00000211,829774.46,9492-9275-3296-4870,W000000211,2020-10-05
CT00000212,914587.56,6424-2311-7466-9452,W000000212,2020-11-30
CT00000213,113574.25,4064-0696-6315-6824,W000000213,2020-03-24
CT00000214,786059.13,0752-9829-5159-9199,W000000214,2020-07-17
CT00000215,962457.59,7362-7742-2474-2339,W000000215,2021-06-16
CT00000216,353345.1,0090-6275-8390-1750,W000000216,2020-09-03
CT00000217,510948.4,9573-5035-6116-5806,W000000217,2019-11-29
CT00000218,311550.27,1090-9173-3478-1768,W000000218,2020-07-09
CT00000219,660617.28,9926-3832-2649-8631,W000000219,2019-10-14
CT00000220,613589.67,5684-9575-2345-7274,W000000220,2021-11-05
CT00000221,382158.5,3054-3324-4613-8069,W000000221,2019-07-11
CT00000222,565472.86,4734-1760-0449-0523,W000000222,2020-10-21
CT00000223,223855.02,9864-1383-2422-4034,W000000223,2019-11-20
CT00000224,697214.87,3455-6421-7669-3874,W000000224,2021-06-03
CT00000225,951216.97,3438-3736-1712-9134,W000000225,2021-08-08
CT00000226,609788.41,8713-9023-5396-9757,W000000226,2019-06-08
CT00000227,878000.62,8852-4657-1065-7202,W000000227,2021-09-24
CT00000228,783682.8,0680-4270-6475-6896,W000000228,2020-04-30
CT00000229,804991.38,8019-8326-8376-6835,W000000229,2019-10-05
CT00000230,597424.5,8875-7062-7227-0284,W000000230,2021-04-02
CT00000231,101214.32,2563-4127-8788-1092,W000000231,2019-06-12
CT00000232,131453.19,9675-6331-6911-1983,W000000232,2021-07-19
CT00000233,703681.68,1865-5658-9298-1289,W000000233,2020-02-24
CT00000234,839092.58,2001-9475-0934-0279,W000000234,2021-03-30
CT00000235,348583.35,2434-9665-3720-2032,W000000235,2019-05-12
CT00000236,762232.04,5949-6907-6403-8572,W000000236,2019-10-23
CT00000237,53950.77,0532-5485-1124-6867,W000000237,2021-06-21
CT00000238,559921.45,8506-3086-5445-7607,W000000238,2022-02-14
CT00000239,950026.56,9580-6444-7654-4316,W000000239,2019-02-24
CT00000240,487708.25,7788-8566-8001-3851,W000000240,2020-10-09
CT00000241,217674.47,8447-1891-2918-8197,W000000241,2020-10-03
CT00000242,676285.49,2747-1357-9530-6120,W000000242,2020-11-16
CT00000243,794136.49,3099-6030-4987-6564,W000000243,2021-09-18
CT00000244,732502.5,9313-3353-2387-1282,W000000244,2022-02-05
CT00000245,405616.03,1865-5658-9298-1289,W000000245,2021-12-22
CT00000246,5408.15,0066-6780-2367-9158,W000000246,2021-08-28
CT00000247,261734.09,5803-1278-5111-1963,W000000247,2022-01-29
CT00000248,508652.65,4992-8020-9026-3481,W000000248,2020-10-12
CT00000249,296402.01,1629-7049-4622-2243,W000000249,2021-09-24
CT00000250,96743.49,3115-0626-1362-7929,W000000250,2019-09-25
CT00000251,704578.58,3921-2258-1317-5397,W000000251,2021-10-31
CT00000252,356386.84,4064-0696-6315-6824,W000000252,2020-12-06
CT00000253,546508.2,8023-8593-1857-0904,W000000253,2019-05-23
CT00000254,738468.09,9282-7411-4953-4653,W000000254,2021-02-12
CT00000255,78421.38,6276-9837-6732-3930,W000000255,2019-04-20
CT00000256,44188.19,6661-5870-1605-8623,W000000256,2020-02-21
CT00000257,364862.02,6238-9186-0119-5630,W000000257,2020-05-25
CT00000258,113970.5,5798-3676-9205-3777,W000000258,2021-12-26
CT00000259,127245.17,6634-7847-1598-9408,W000000259,2020-05-31
CT00000260,318695.47,6884-1454-0261-0038,W000000260,2020-05-01
CT00000261,670096.29,7575-9334-6754-6771,W000000261,2021-12-14
CT00000262,163011.49,4053-7453-2238-1106,W000000262,2019-01-25
CT00000263,479890.65,9218-1326-1604-2625,W000000263,2019-01-04
CT00000264,828510.73,6718-7320-5557-1656,W000000264,2020-12-30
CT00000265,186881.41,9603-4878-5332-8620,W000000265,2021-07-03
CT00000266,63252.08,9977-7018-8303-4637,W000000266,2022-01-04
CT00000267,627740.02,1458-4029-5322-9277,W000000267,2021-09-19
CT00000268,592092.3,5573-8411-7686-0019,W000000268,2022-03-15
CT00000269,729085.24,1109-2230-2852-6429,W000000269,2020-06-28
CT00000270,902238.42,3389-0130-1823-9433,W000000270,2019-12-23
CT00000271,115645.45,5913-1744-5146-4050,W000000271,2019-08-14
CT00000272,697028.64,5010-8264-7492-6034,W000000272,2020-10-06
CT00000273,334025.47,7769-4861-7009-6734,W000000273,2019-12-08
CT00000274,210182.6,4217-7406-9451-5574,W000000274,2022-03-07
CT00000275,151821.22,4877-7757-3026-5370,W000000275,2019-07-01
CT00000276,715837.43,2630-3724-9209-8918,W000000276,2019-08-15
CT00000277,100239.54,5311-3491-7612-3348,W000000277,2021-09-17
CT00000278,693813.22,4149-6108-2896-2761,W000000278,2019-03-03
CT00000279,656983.24,4381-4351-9661-0692,W000000279,2021-05-08
CT00000280,897630.91,2865-2005-1078-6447,W000000280,2019-03-28
CT00000281,762961.47,5510-6124-5932-6886,W000000281,2021-02-01
CT00000282,523832.66,3632-5953-8137-0536,W000000282,2020-12-07
CT00000283,309141.37,6927-3369-4021-3410,W000000283,2019-10-11
CT00000284,431789.04,7171-7043-3876-8956,W000000284,2019-05-02
CT00000285,660611.85,8496-9995-9936-6034,W000000285,2019-07-28
CT00000286,899955.57,8643-0170-1182-7607,W000000286,2020-05-18
CT00000287,924418.99,4285-3175-7134-7098,W000000287,2020-12-17
CT00000288,936693.1,1859-4335-7457-0260,W000000288,2021-09-19
CT00000289,182161.98,5038-2896-4776-8279,W000000289,2021-07-30
CT00000290,573946.65,4676-7244-9482-3177,W000000290,2021-08-24
CT00000291,352371.54,1170-9601-6830-6047,W000000291,2020-07-15
CT00000292,614068.41,2742-0068-4784-1304,W000000292,2021-10-25
CT00000293,417858.54,0038-4591-7348-8687,W000000293,2019-12-15
CT00000294,668896.05,2911-2703-7387-3073,W000000294,2019-08-28
CT00000295,271173.96,1332-6821-4387-4327,W000000295,2019-06-14
CT00000296,79761.01,6212-0219-9841-9560,W000000296,2021-11-03
CT00000297,694701.81,2144-7135-3285-3677,W000000297,2020-12-26
CT00000298,122375.95,4463-0980-1585-3322,W000000298,2021-06-11
CT00000299,677551.0,5710-6056-0906-7643,W000000299,2021-01-07
CT00000300,929221.68,9362-1016-9659-3646,W000000300,2020-07-02
CT00000301,175429.6,3784-2978-3750-6506,W000000301,2019-03-19
CT00000302,697484.03,8651-0516-9663-2443,W000000302,2020-12-09
CT00000303,66293.8,5106-6573-7824-8925,W000000303,2020-07-24
CT00000304,165823.91,8658-6675-9665-2860,W000000304,2019-06-08
CT00000305,136001.69,5152-0650-5273-6697,W000000305,2021-06-10
CT00000306,824016.88,0901-2505-4893-0386,W000000306,2020-02-11
CT00000307,122355.85,4381-4351-9661-0692,W000000307,2021-01-03
CT00000308,607986.17,3470-2151-2370-2980,W000000308,2020-01-03
CT00000309,210092.66,4831-2484-8275-1620,W000000309,2019-06-26
CT00000310,375656.09,8567-9238-0626-8797,W000000310,2020-03-07
CT00000311,913242.42,6922-7496-5171-3276,W000000311,2019-07-02
CT00000312,192541.41,8839-7425-8346-6370,W000000312,2020-12-21
CT00000313,340971.2,0332-2423-4000-1787,W000000313,2020-02-12
CT00000314,76058.12,0186-0378-3579-8728,W000000314,2021-09-17
CT00000315,676538.62,8494-8907-9469-3008,W000000315,2019-04-23
CT00000316,773163.72,2709-4058-2064-1764,W000000316,2019-07-04
CT00000317,348306.25,9864-1383-2422-4034,W000000317,2022-03-09
CT00000318,18878.68,9034-4681-6912-3531,W000000318,2021-06-21
CT00000319,604425.97,3900-6845-6174-0043,W000000319,2021-06-16
CT00000320,514556.58,3892-0978-0811-1817,W000000320,2021-11-20
CT00000321,77563.0,2628-1167-2454-2489,W000000321,2020-04-01
CT00000322,719076.72,3973-8319-5589-2260,W000000322,2020-10-06
CT00000323,925996.12,3648-6799-2315-0573,W000000323,2022-01-20
CT00000324,260497.21,2803-4896-9360-1932,W000000324,2019-04-03
CT00000325,601211.33,7980-0624-0314-4647,W000000325,2020-03-12
CT00000326,411536.51,1257-3371-6407-3330,W000000326,2020-10-04
CT00000327,800683.5,9266-8415-8983-4248,W000000327,2020-12-22
CT00000328,442950.84,4729-2220-3068-5139,W000000328,2021-04-13
CT00000329,132973.6,4463-0980-1585-3322,W000000329,2021-04-09
CT00000330,628963.3,9977-7018-8303-4637,W000000330,2020-07-02
CT00000331,853229.62,1847-0703-5496-9160,W000000331,2019-02-25
CT00000332,241415.63,2180-2967-1608-4503,W000000332,2020-08-28
CT00000333,383493.53,2571-7053-1901-3073,W000000333,2020-07-16
CT00000334,10737.68,3520-8408-3093-0952,W000000334,2019-09-22
CT00000335,31704.72,0707-9329-8414-7430,W000000335,2019-09-21
CT00000336,813611.11,8964-4731-8726-6186,W000000336,2021-11-21
CT00000337,611862.36,0654-0274-3483-3027,W000000337,2022-03-08
CT00000338,865064.85,9050-7591-0398-6023,W000000338,2020-01-12
CT00000339,922183.96,1017-7403-5499-8870,W000000339,2019-11-25
CT00000340,531433.14,7101-4706-3575-5318,W000000340,2019-09-09
CT00000341,670038.46,0752-9829-5159-9199,W000000341,2021-04-24
CT00000342,515803.23,8685-6288-4683-3622,W000000342,2022-02-09
CT00000343,349315.44,5544-4200-6034-4973,W000000343,2019-09-28
CT00000344,841907.45,8641-2070-7281-7683,W000000344,2020-02-22
CT00000345,666650.84,9093-7061-8110-5512,W000000345,2021-03-12
CT00000346,849474.87,4982-4291-3876-6090,W000000346,2020-11-08
CT00000347,961315.3,6090-8476-8391-9097,W000000347,2020-04-21
CT00000348,366751.92,6849-1036-3265-6709,W000000348,2019-11-27
CT00000349,972552.77,9950-9305-4064-1768,W000000349,2020-06-25
CT00000350,443303.48,1929-7083-3133-1612,W000000350,2020-08-04
CT00000351,179805.5,7997-2692-3375-2277,W000000351,2019-11-29
CT00000352,146918.67,6044-2670-0159-3333,W000000352,2021-11-13
CT00000353,106222.04,5154-7888-5043-8756,W000000353,2020-07-09
CT00000354,581851.49,8398-0974-2040-4134,W000000354,2019-05-14
CT00000355,804469.37,3659-5798-5517-0444,W000000355,2022-01-21
CT00000356,350188.72,2689-1416-4673-4662,W000000356,2020-06-09
CT00000357,613072.08,6822-4850-1422-4307,W000000357,2019-10-25
CT00000358,151482.39,5986-5756-7729-3579,W000000358,2020-08-22
CT00000359,971197.67,4255-7004-6388-7575,W000000359,2022-02-19
CT00000360,433718.34,8019-8326-8376-6835,W000000360,2020-05-13
CT00000361,63746.06,7996-6669-0329-3438,W000000361,2019-08-31
CT00000362,140838.58,1571-0980-7041-5693,W000000362,2020-01-19
CT00000363,596184.62,4815-8366-8690-9109,W000000363,2019-10-21
CT00000364,141792.74,7511-7538-5093-5619,W000000364,2021-01-30
CT00000365,890624.04,3725-9645-0445-5683,W000000365,2019-12-20
CT00000366,62997.49,3874-8329-5264-7872,W000000366,2021-11-04
CT00000367,48373.99,0170-1165-2852-9239,W000000367,2021-08-22
CT00000368,842614.13,3559-3029-9528-3785,W000000368,2021-08-29
CT00000369,577927.74,3073-1035-3596-9518,W000000369,2021-11-10
CT00000370,818665.19,1500-8531-0080-6457,W000000370,2019-11-11
CT00000371,411999.17,2282-2695-8664-5933,W000000371,2019-09-20
CT00000372,207546.79,7042-5797-7156-8417,W000000372,2021-09-21
CT00000373,655133.45,6946-0381-1438-1658,W000000373,2021-07-03
CT00000374,574191.83,5255-4331-6696-4618,W000000374,2020-02-02
CT00000375,889267.78,7922-9600-1422-9728,W000000375,2019-09-25
CT00000376,14221.43,7776-7365-4190-2822,W000000376,2021-12-21
CT00000377,587871.34,8097-3545-4009-3344,W000000377,2020-08-20
CT00000378,683133.88,4892-8936-3913-7366,W000000378,2021-01-11
CT00000379,741104.85,5694-7571-4742-6455,W000000379,2021-07-31
CT00000380,387536.92,8964-4731-8726-6186,W000000380,2021-06-25
CT00000381,297156.99,4108-6787-2199-5024,W000000381,2021-09-15
CT00000382,995295.0,4665-5062-7134-1045,W000000382,2021-12-05
CT00000383,934874.77,3026-8709-8651-2140,W000000383,2019-03-06
CT00000384,375868.06,3330-9601-3592-6744,W000000384,2019-01-04
CT00000385,691161.71,4346-4546-2890-2981,W000000385,2020-08-22
CT00000386,203731.99,2002-9495-4808-6475,W000000386,2022-02-08
CT00000387,464072.48,7559-0199-1865-2289,W000000387,2021-04-22
CT00000388,595106.74,6891-7742-2537-3025,W000000388,2021-09-04
CT00000389,12957.47,0532-5485-1124-6867,W000000389,2019-10-15
CT00000390,593744.74,7279-6828-1956-9879,W000000390,2019-05-17
CT00000391,527241.7,2288-3957-8355-0914,W000000391,2019-10-03
CT00000392,497605.35,1480-6399-0025-7160,W000000392,2020-06-06
CT00000393,586357.98,2602-9687-5545-5838,W000000393,2019-04-14
CT00000394,388245.06,7936-5803-1065-9607,W000000394,2019-11-06
CT00000395,858594.87,7431-2737-3807-1172,W000000395,2020-02-20
CT00000396,881369.24,5311-5725-9013-8040,W000000396,2020-10-24
CT00000397,973548.2,9831-6980-6149-2555,W000000397,2021-12-01
