Top_up_BankNum_ID,Balanced,Bank_Num,Wallet_ID,Top_Up_Date
BT00000177,1430.88,132-471085-6,W000000177,2020-10-14
BT00000178,37644.18,671-333232-5,W000000178,2020-02-13
BT00000179,589017.73,572-373347-6,W000000179,2020-10-29
BT00000180,956065.39,248-804386-1,W000000180,2022-03-01
BT00000181,366160.05,425-843731-8,W000000181,2021-03-30
BT00000182,656603.91,050-462283-5,W000000182,2021-06-30
BT00000183,806938.01,186-037629-3,W000000183,2020-09-06
BT00000184,369634.7,727-248204-6,W000000184,2021-07-21
BT00000185,523296.92,065-338493-1,W000000185,2020-11-19
BT00000186,68276.95,939-646915-8,W000000186,2020-11-23
BT00000187,395482.61,481-406382-6,W000000187,2021-04-04
BT00000188,51197.38,598-021371-1,W000000188,2019-04-11
BT00000189,951104.58,509-042540-0,W000000189,2021-06-23
BT00000190,570702.95,102-239152-3,W000000190,2020-06-21
BT00000191,325846.68,869-976516-0,W000000191,2019-03-13
BT00000192,460154.02,955-251491-0,W000000192,2019-10-29
BT00000193,491955.97,565-356147-9,W000000193,2020-09-18
BT00000194,795627.62,766-509320-0,W000000194,2019-05-28
BT00000195,792223.42,350-928608-7,W000000195,2020-07-29
BT00000196,410379.91,061-399930-0,W000000196,2019-08-11
BT00000197,683178.61,978-307604-2,W000000197,2022-02-16
BT00000198,820219.5,896-122878-0,W000000198,2020-11-04
BT00000199,617831.96,409-968239-8,W000000199,2022-03-08
BT00000200,409650.5,262-738816-6,W000000200,2019-07-21
BT00000201,874732.37,237-256527-8,W000000201,2021-10-30
BT00000202,93740.26,560-171663-5,W000000202,2019-10-14
BT00000203,492483.7,405-219240-8,W000000203,2021-03-02
BT00000204,764.15,386-624808-0,W000000204,2021-10-02
BT00000205,426772.61,186-037629-3,W000000205,2021-02-09
BT00000206,1614.15,403-512266-2,W000000206,2019-03-14
BT00000207,66469.59,828-348534-7,W000000207,2020-05-04
BT00000208,203328.38,279-306818-7,W000000208,2020-05-27
BT00000209,593844.98,752-758754-2,W000000209,2022-02-07
BT00000210,775310.07,543-070575-1,W000000210,2019-01-07
BT00000211,833256.85,961-715095-2,W000000211,2020-10-05
BT00000212,816355.37,158-248334-5,W000000212,2020-11-30
BT00000213,125227.79,149-297484-6,W000000213,2020-03-24
BT00000214,192097.42,926-630268-7,W000000214,2020-07-17
BT00000215,704713.18,752-427473-3,W000000215,2021-06-16
BT00000216,233296.1,028-722549-4,W000000216,2020-09-03
BT00000217,49703.11,948-837836-2,W000000217,2019-11-29
BT00000218,417064.57,921-048007-6,W000000218,2020-07-09
BT00000219,173310.98,126-235118-3,W000000219,2019-10-14
BT00000220,721911.3,481-406382-6,W000000220,2021-11-05
BT00000221,592456.28,480-762685-6,W000000221,2019-07-11
BT00000222,279869.92,655-199145-8,W000000222,2020-10-21
BT00000223,766223.49,816-889617-2,W000000223,2019-11-20
BT00000224,700125.16,494-246100-9,W000000224,2021-06-03
BT00000225,510520.46,696-392102-2,W000000225,2021-08-08
BT00000226,714610.62,716-623360-2,W000000226,2019-06-08
BT00000227,265904.88,227-678572-9,W000000227,2021-09-24
BT00000228,99989.37,795-602232-6,W000000228,2020-04-30
BT00000229,477193.15,697-078368-5,W000000229,2019-10-05
BT00000230,440060.4,332-846591-3,W000000230,2021-04-02
BT00000231,254272.66,664-581778-4,W000000231,2019-06-12
BT00000232,244.73,898-937915-4,W000000232,2021-07-19
BT00000233,322565.48,825-570939-0,W000000233,2020-02-24
BT00000234,811520.75,251-937851-3,W000000234,2021-03-30
BT00000235,981367.8,971-411608-9,W000000235,2019-05-12
BT00000236,613202.95,267-035112-0,W000000236,2019-10-23
BT00000237,51335.96,981-154800-4,W000000237,2021-06-21
BT00000238,164348.64,218-906634-4,W000000238,2022-02-14
BT00000239,955166.89,266-439089-0,W000000239,2019-02-24
BT00000240,649194.36,800-778902-4,W000000240,2020-10-09
BT00000241,85557.78,753-057272-1,W000000241,2020-10-03
BT00000242,38677.63,268-214693-3,W000000242,2020-11-16
BT00000243,503933.29,853-455692-9,W000000243,2021-09-18
BT00000244,980909.46,388-503751-7,W000000244,2022-02-05
BT00000245,337714.68,483-072497-8,W000000245,2021-12-22
BT00000246,973857.24,565-055816-6,W000000246,2021-08-28
BT00000247,680518.13,726-057228-0,W000000247,2022-01-29
BT00000248,384885.81,163-282538-6,W000000248,2020-10-12
BT00000249,527423.77,840-021179-0,W000000249,2021-09-24
BT00000250,831632.08,776-492483-8,W000000250,2019-09-25
BT00000251,995191.1,026-440621-1,W000000251,2021-10-31
BT00000252,11948.6,836-516856-7,W000000252,2020-12-06
BT00000253,863612.8,278-290329-9,W000000253,2019-05-23
BT00000254,507260.62,190-313614-3,W000000254,2021-02-12
BT00000255,132394.54,314-503764-4,W000000255,2019-04-20
BT00000256,470294.85,294-452529-5,W000000256,2020-02-21
BT00000257,148672.64,538-827352-2,W000000257,2020-05-25
BT00000258,763307.35,261-973956-2,W000000258,2021-12-26
BT00000259,851914.67,368-136501-8,W000000259,2020-05-31
BT00000260,297984.23,148-203649-7,W000000260,2020-05-01
BT00000261,809177.69,047-894349-8,W000000261,2021-12-14
BT00000262,144451.08,142-421261-4,W000000262,2019-01-25
BT00000263,255243.56,233-580053-2,W000000263,2019-01-04
BT00000264,975683.63,239-496890-7,W000000264,2020-12-30
BT00000265,530648.3,497-702419-7,W000000265,2021-07-03
BT00000266,981937.52,480-721458-6,W000000266,2022-01-04
BT00000267,543755.49,850-390425-4,W000000267,2021-09-19
BT00000268,889709.47,509-851623-0,W000000268,2022-03-15
BT00000269,573639.07,876-113248-3,W000000269,2020-06-28
BT00000270,571269.13,841-368532-1,W000000270,2019-12-23
BT00000271,281675.58,478-430950-8,W000000271,2019-08-14
BT00000272,944219.86,948-837836-2,W000000272,2020-10-06
BT00000273,981551.55,538-741904-9,W000000273,2019-12-08
BT00000274,689587.69,747-573571-5,W000000274,2022-03-07
BT00000275,428988.96,529-609702-8,W000000275,2019-07-01
BT00000276,41693.2,831-093396-5,W000000276,2019-08-15
BT00000277,929559.83,129-500455-3,W000000277,2021-09-17
BT00000278,232208.35,114-186400-4,W000000278,2019-03-03
BT00000279,558948.1,063-650062-4,W000000279,2021-05-08
BT00000280,319203.27,996-563954-0,W000000280,2019-03-28
BT00000281,691779.85,529-791128-9,W000000281,2021-02-01
BT00000282,889009.01,552-758800-5,W000000282,2020-12-07
BT00000283,564541.12,130-730401-3,W000000283,2019-10-11
BT00000284,335169.51,204-542283-9,W000000284,2019-05-02
BT00000285,557221.83,558-097837-8,W000000285,2019-07-28
BT00000286,29922.05,566-472339-5,W000000286,2020-05-18
BT00000287,803200.43,493-876981-6,W000000287,2020-12-17
BT00000288,608016.83,495-271049-3,W000000288,2021-09-19
BT00000289,268526.65,342-634109-1,W000000289,2021-07-30
BT00000290,196311.02,996-495286-5,W000000290,2021-08-24
BT00000291,483099.24,855-790292-1,W000000291,2020-07-15
BT00000292,17140.64,906-633980-5,W000000292,2021-10-25
BT00000293,37601.51,504-365678-6,W000000293,2019-12-15
BT00000294,230906.44,558-951899-5,W000000294,2019-08-28
BT00000295,745282.78,308-336145-3,W000000295,2019-06-14
BT00000296,799099.48,670-987825-0,W000000296,2021-11-03
BT00000297,713177.57,128-793357-1,W000000297,2020-12-26
BT00000298,844398.0,339-871652-4,W000000298,2021-06-11
BT00000299,602173.43,566-077056-9,W000000299,2021-01-07
BT00000300,819646.54,514-543098-3,W000000300,2020-07-02
BT00000301,314899.88,942-518336-4,W000000301,2019-03-19
BT00000302,560013.25,771-866908-9,W000000302,2020-12-09
BT00000303,336135.06,644-025390-7,W000000303,2020-07-24
BT00000304,767833.48,396-920837-2,W000000304,2019-06-08
BT00000305,371247.25,161-537499-4,W000000305,2021-06-10
BT00000306,311120.34,679-244509-8,W000000306,2020-02-11
BT00000307,6811.68,708-194720-9,W000000307,2021-01-03
BT00000308,608114.1,812-903416-8,W000000308,2020-01-03
BT00000309,544232.71,106-643851-5,W000000309,2019-06-26
BT00000310,335539.01,260-820163-7,W000000310,2020-03-07
BT00000311,510309.91,069-982423-0,W000000311,2019-07-02
BT00000312,178789.28,732-464927-9,W000000312,2020-12-21
BT00000313,848777.84,676-747554-1,W000000313,2020-02-12
BT00000314,390037.81,559-703516-1,W000000314,2021-09-17
BT00000315,395353.86,341-459490-6,W000000315,2019-04-23
BT00000316,183321.57,518-654054-2,W000000316,2019-07-04
BT00000317,987006.77,883-317918-8,W000000317,2022-03-09
BT00000318,662294.12,828-941236-5,W000000318,2021-06-21
BT00000319,692166.77,726-057228-0,W000000319,2021-06-16
BT00000320,745373.29,694-508794-0,W000000320,2021-11-20
BT00000321,3507.63,300-425851-3,W000000321,2020-04-01
BT00000322,880166.57,845-119792-1,W000000322,2020-10-06
BT00000323,315354.64,555-567218-8,W000000323,2022-01-20
BT00000324,532548.6,566-472339-5,W000000324,2019-04-03
BT00000325,255026.75,589-489069-5,W000000325,2020-03-12
BT00000326,260614.68,302-420620-6,W000000326,2020-10-04
BT00000327,895185.64,524-266384-4,W000000327,2020-12-22
BT00000328,190178.41,635-629197-9,W000000328,2021-04-13
BT00000329,501235.45,016-815113-6,W000000329,2021-04-09
BT00000330,369654.42,415-214802-7,W000000330,2020-07-02
BT00000331,103664.24,492-448886-2,W000000331,2019-02-25
BT00000332,221846.09,752-205166-4,W000000332,2020-08-28
BT00000333,544389.72,247-203520-1,W000000333,2020-07-16
BT00000334,60896.47,744-568936-6,W000000334,2019-09-22
BT00000335,961141.99,488-891590-9,W000000335,2019-09-21
BT00000336,647684.57,268-252974-8,W000000336,2021-11-21
BT00000337,712173.31,853-455692-9,W000000337,2022-03-08
BT00000338,203049.43,869-859430-8,W000000338,2020-01-12
BT00000339,676180.12,405-766397-6,W000000339,2019-11-25
BT00000340,25874.45,398-543425-6,W000000340,2019-09-09
BT00000341,649732.06,793-775168-7,W000000341,2021-04-24
BT00000342,6380.07,923-351296-7,W000000342,2022-02-09
BT00000343,883004.22,802-953709-9,W000000343,2019-09-28
BT00000344,821707.85,600-058056-4,W000000344,2020-02-22
BT00000345,93944.3,232-618788-3,W000000345,2021-03-12
BT00000346,731661.04,047-894349-8,W000000346,2020-11-08
BT00000347,765027.78,150-445613-3,W000000347,2020-04-21
BT00000348,58808.38,714-605666-3,W000000348,2019-11-27
BT00000349,907003.85,839-624147-0,W000000349,2020-06-25
BT00000350,758512.13,568-616666-6,W000000350,2020-08-04
BT00000351,765126.07,026-440621-1,W000000351,2019-11-29
BT00000352,195432.46,106-643851-5,W000000352,2021-11-13
BT00000353,274323.52,351-147404-2,W000000353,2020-07-09
BT00000354,612542.26,372-813659-9,W000000354,2019-05-14
BT00000355,844393.74,089-994299-8,W000000355,2022-01-21
BT00000356,106813.88,390-213671-2,W000000356,2020-06-09
BT00000357,109125.58,452-846586-8,W000000357,2019-10-25
BT00000358,591975.69,022-537670-6,W000000358,2020-08-22
BT00000359,777441.83,075-004490-6,W000000359,2022-02-19
BT00000360,151698.62,590-572478-7,W000000360,2020-05-13
BT00000361,205722.2,015-557855-9,W000000361,2019-08-31
BT00000362,398043.99,065-338493-1,W000000362,2020-01-19
BT00000363,432872.15,087-304418-0,W000000363,2019-10-21
BT00000364,779211.7,641-651100-3,W000000364,2021-01-30
BT00000365,585823.14,089-452042-2,W000000365,2019-12-20
BT00000366,96232.95,184-152875-4,W000000366,2021-11-04
BT00000367,936449.58,063-737425-7,W000000367,2021-08-22
BT00000368,725841.18,218-906634-4,W000000368,2021-08-29
BT00000369,992385.4,093-131641-8,W000000369,2021-11-10
BT00000370,847113.18,047-079729-4,W000000370,2019-11-11
BT00000371,19638.52,103-706589-2,W000000371,2019-09-20
BT00000372,95557.68,486-998650-7,W000000372,2021-09-21
BT00000373,541063.17,358-054755-9,W000000373,2021-07-03
BT00000374,709988.86,112-145510-9,W000000374,2020-02-02
BT00000375,217195.48,895-927156-1,W000000375,2019-09-25
BT00000376,321903.16,016-052332-7,W000000376,2021-12-21
BT00000377,300686.78,806-099757-8,W000000377,2020-08-20
BT00000378,934023.14,154-010919-8,W000000378,2021-01-11
BT00000379,258083.79,976-512846-9,W000000379,2021-07-31
BT00000380,362268.4,712-565792-6,W000000380,2021-06-25
BT00000381,494176.37,370-217366-1,W000000381,2021-09-15
BT00000382,941597.1,258-472551-0,W000000382,2021-12-05
BT00000383,818485.97,243-540026-7,W000000383,2019-03-06
BT00000384,26855.67,900-134415-8,W000000384,2019-01-04
BT00000385,624564.96,344-666666-4,W000000385,2020-08-22
BT00000386,112834.64,173-443592-5,W000000386,2022-02-08
BT00000387,960180.17,629-518857-9,W000000387,2021-04-22
BT00000388,228164.03,247-927804-1,W000000388,2021-09-04
BT00000389,646882.38,839-385416-4,W000000389,2019-10-15
BT00000390,204979.51,988-665645-7,W000000390,2019-05-17
BT00000391,571644.14,262-738816-6,W000000391,2019-10-03
BT00000392,449009.28,286-760097-7,W000000392,2020-06-06
BT00000393,56646.74,344-864188-8,W000000393,2019-04-14
BT00000394,506528.8,816-889617-2,W000000394,2019-11-06
BT00000395,26289.3,836-516856-7,W000000395,2020-02-20
BT00000396,266183.87,837-278652-3,W000000396,2020-10-24
BT00000397,331661.25,921-647122-2,W000000397,2021-12-01
BT00000398,382970.66,087-304418-0,W000000398,2021-09-14
BT00000399,886179.85,643-390457-3,W000000399,2020-11-10
BT00000400,225362.67,604-860665-7,W000000400,2021-09-23
BT00000401,716594.92,290-942687-4,W000000401,2021-04-19
BT00000402,449032.53,277-100789-2,W000000402,2021-03-23
BT00000403,567813.96,557-031320-8,W000000403,2019-04-01
BT00000404,497433.43,831-667646-7,W000000404,2020-08-17
BT00000405,833632.47,429-975798-1,W000000405,2020-10-20
BT00000406,984623.75,452-911194-8,W000000406,2020-08-06
BT00000407,974477.24,406-648587-8,W000000407,2019-12-25
BT00000408,960708.69,648-638310-8,W000000408,2019-08-24
BT00000409,83039.4,809-394429-4,W000000409,2020-06-22
BT00000410,605085.61,701-407422-4,W000000410,2020-10-29
BT00000411,937223.12,978-563282-3,W000000411,2020-05-22
BT00000412,426960.82,989-215887-1,W000000412,2019-09-16
BT00000413,750561.88,290-696572-7,W000000413,2020-04-30
BT00000414,469204.85,699-841203-7,W000000414,2019-01-13
BT00000415,500815.58,282-828799-2,W000000415,2021-05-10
BT00000416,808935.54,608-328263-4,W000000416,2020-05-30
BT00000417,740722.37,462-062103-5,W000000417,2020-06-30
BT00000418,656808.0,185-871709-0,W000000418,2021-11-14
BT00000419,922831.0,012-944629-5,W000000419,2020-03-31
BT00000420,654990.02,749-859022-8,W000000420,2022-02-23
BT00000421,703455.75,392-155059-4,W000000421,2019-06-25
BT00000422,169591.56,260-820163-7,W000000422,2019-04-27
BT00000423,203341.2,777-753699-5,W000000423,2022-02-26
BT00000424,147059.41,644-980033-1,W000000424,2020-09-11
BT00000425,369338.81,753-057272-1,W000000425,2021-08-27
BT00000426,880592.1,220-797368-7,W000000426,2021-04-07
BT00000427,604650.0,737-905743-4,W000000427,2019-06-12
BT00000428,240702.98,031-271394-6,W000000428,2021-05-26
BT00000429,726331.8,744-560529-2,W000000429,2022-01-04
BT00000430,157905.08,676-747554-1,W000000430,2021-08-27
BT00000431,627080.26,532-851796-4,W000000431,2019-09-25
BT00000432,876906.09,101-779774-7,W000000432,2019-02-06
BT00000433,85805.64,726-089387-1,W000000433,2020-04-04
BT00000434,376007.81,040-936093-9,W000000434,2022-03-14
BT00000435,66472.22,672-772921-7,W000000435,2022-02-21
BT00000436,552153.67,664-876350-7,W000000436,2021-09-28
BT00000437,160363.24,672-772921-7,W000000437,2019-01-21
BT00000438,351700.23,362-383053-0,W000000438,2021-07-19
BT00000439,781722.5,690-219943-9,W000000439,2020-12-28
BT00000440,921413.82,392-155059-4,W000000440,2021-11-05
BT00000441,240446.1,558-097837-8,W000000441,2020-03-19
BT00000442,658111.97,500-337816-3,W000000442,2021-02-08
BT00000443,726608.9,611-292022-5,W000000443,2019-05-23
BT00000444,429743.75,547-178257-0,W000000444,2019-05-31
BT00000445,296610.45,928-474969-1,W000000445,2020-12-26
BT00000446,193359.68,623-816436-0,W000000446,2021-05-05
BT00000447,861853.76,607-361786-9,W000000447,2020-07-16
BT00000448,118214.03,478-430950-8,W000000448,2019-07-14
BT00000449,684718.16,437-027251-7,W000000449,2021-12-27
BT00000450,608634.57,598-002797-0,W000000450,2021-07-31
BT00000451,962405.73,479-868517-3,W000000451,2020-08-06
BT00000452,18356.52,069-500208-2,W000000452,2021-11-24
BT00000453,24752.14,397-329848-1,W000000453,2019-05-15
BT00000454,693433.17,752-085045-1,W000000454,2021-08-07
BT00000455,204071.32,243-419001-1,W000000455,2020-10-26
BT00000456,468283.06,712-643041-9,W000000456,2019-06-06
BT00000457,832035.81,186-885228-2,W000000457,2019-03-21
BT00000458,70859.27,328-452957-1,W000000458,2021-02-13
BT00000459,140631.0,132-471085-6,W000000459,2020-12-03
BT00000460,63239.04,238-202816-5,W000000460,2020-01-08
BT00000461,140190.38,656-741896-7,W000000461,2021-04-05
BT00000462,165573.35,081-178892-9,W000000462,2019-06-04
BT00000463,970055.48,437-027251-7,W000000463,2019-05-29
