Wallet_id,Balanced,Owner_ID,Credit_Card_ID,Debit_Card_ID,Bank_Number
W000000030,760539.57,U000001338,7880-2618-3957-1100,2775-6459-3227-7554,689-840169-4
W000000031,822292.92,U000000989,2122-7342-5745-3270,9461-1352-6243-1122,239-496890-7
W000000032,339339.86,U000001191,0616-2486-0188-3012,7474-4367-6573-8271,995-845380-8
W000000033,89677.19,U000001640,8496-9995-9936-6034,5749-4253-3206-7187,054-494539-1
W000000034,402727.44,U000000571,1591-3478-6753-9432,1881-9866-2290-7430,089-452042-2
W000000035,928050.04,U000000648,8983-0872-5561-7283,3919-6766-9343-7933,480-940133-8
W000000036,842750.81,U000000537,4876-9080-7040-9465,6728-3516-8148-7539,206-295077-1
W000000037,564129.2,U000000956,7093-2876-4305-5252,9845-3290-3517-7378,800-625654-4
W000000038,870893.51,U000000835,7106-0849-6694-6581,3681-9750-7063-7212,506-406649-9
W000000039,713025.94,U000000790,3345-1705-4616-7795,8178-7851-5922-9543,466-495118-6
W000000040,833976.83,U000000664,2780-2508-3372-3972,0813-7403-8471-0571,722-010228-0
W000000041,406860.59,U000001903,5651-7287-8957-4453,2851-2948-6751-5006,067-486352-3
W000000042,509808.03,U000000358,8523-8307-3243-7926,3395-8373-3745-1865,618-672457-1
W000000043,577247.8,U000001817,6950-5025-3187-4606,5360-5449-1120-8313,277-015279-7
W000000044,116011.77,U000000335,4285-3175-7134-7098,0286-8733-2248-3894,708-494212-8
W000000045,493091.48,U000000842,8457-5112-1246-9220,0606-8134-7506-3594,968-227154-1
W000000046,178529.3,U000001018,9097-5126-3274-3829,2178-6477-4382-3238,408-878105-8
W000000047,175116.16,U000001780,7025-2187-1770-3800,1958-2949-6402-5396,840-021179-0
W000000048,79941.56,U000001834,5007-9889-6900-0238,1625-8193-3366-7217,290-942687-4
W000000049,483060.37,U000000416,3731-0202-2076-7709,8416-4567-2469-8149,228-887855-8
W000000050,492059.72,U000001119,9100-9339-7189-1660,4883-3841-6019-9596,381-310357-1
W000000051,589964.16,U000000380,5436-6352-0783-4512,3844-7950-7320-2089,780-347635-0
W000000052,29670.47,U000000867,2826-4893-6661-9143,8921-2009-6291-2136,483-072497-8
W000000053,693719.54,U000000794,7364-5775-1520-9619,9570-8494-2733-3251,470-984722-0
W000000054,783531.0,U000001997,0456-1001-9835-2888,4946-3560-8682-2193,510-583138-0
W000000055,949088.15,U000000906,5977-7514-0570-5760,2070-1867-8487-0591,344-524898-3
W000000056,392584.0,U000000603,3857-2706-3567-7255,4659-2705-8096-7187,436-938111-2
W000000057,730160.1,U000001323,0490-3794-1653-0701,2086-4958-1479-7414,327-338458-0
W000000058,121064.24,U000000700,4494-6903-3213-8928,2878-3223-6619-8889,031-494080-3
W000000059,340826.06,U000000991,3771-3918-2772-2952,8073-7993-0192-4810,073-681821-0
W000000060,917938.86,U000001193,5361-8579-4407-6252,3316-7487-5524-0937,447-064034-0
W000000061,162228.5,U000000614,4194-3656-4506-5525,5493-1878-2327-9824,769-034837-1
W000000062,97446.7,U000001426,2288-3957-8355-0914,3751-9643-8394-0676,648-370348-3
W000000063,12743.85,U000000383,4007-1681-2403-7265,1074-8054-7569-6410,338-378759-0
W000000064,751162.61,U000001650,5746-3578-0387-0837,8514-6028-3493-6096,035-104028-1
W000000065,554405.24,U000001220,2986-6321-4729-4072,3265-9418-1623-1449,687-279640-9
W000000066,584326.05,U000000719,2399-2732-8150-8644,8999-6026-8558-7849,990-939704-6
W000000067,86947.37,U000000304,7433-4338-4557-7181,3285-4950-5123-2138,494-246100-9
W000000068,445199.07,U000000533,8001-0953-8986-4608,9525-0081-4877-3364,527-030091-1
W000000069,977012.57,U000000151,4985-9776-5553-1159,6768-3781-5534-7217,528-922483-1
W000000070,675055.98,U000001131,7333-4820-2671-5978,1241-9657-4678-9446,741-111987-7
W000000071,363303.35,U000000473,6884-1454-0261-0038,8999-6026-8558-7849,425-843731-8
W000000072,611520.7,U000000782,7478-4831-2045-7184,7065-6669-1507-4386,385-474767-5
W000000073,717439.73,U000001912,1691-9346-0648-6675,1981-3575-0586-7832,891-897217-8
W000000074,981082.7,U000000438,1644-7104-3570-6624,8454-2282-3985-4746,612-238414-3
W000000075,861774.39,U000001890,5115-7583-5830-7948,2836-1828-9877-4841,683-992362-5
W000000076,384510.42,U000001737,3069-0121-2570-2980,4988-0513-6265-7902,741-603039-3
W000000077,364799.84,U000001439,5695-1131-4544-3933,4823-2225-2815-5547,612-975273-7
W000000078,153744.05,U000000116,5691-9031-3584-2377,7413-9603-6204-2746,614-678496-4
W000000079,62331.38,U000001311,1402-1421-3597-8801,3830-5246-2455-2294,698-814904-2
W000000080,948868.42,U000000587,2689-8621-4583-0841,7264-1501-8048-9784,235-099585-7
W000000081,893370.85,U000001337,7346-4690-0810-8003,1031-4957-7175-8992,251-773249-0
W000000082,381051.77,U000000610,3653-7924-1561-2678,3220-9901-8379-0158,000-748527-0
W000000083,700318.58,U000001758,4156-1167-5601-0423,3096-8820-0229-4242,206-295077-1
W000000084,119644.04,U000000214,5306-9476-6056-6090,6288-9754-5594-8930,374-941311-8
W000000085,107380.69,U000000224,1871-5244-2036-8585,9463-8513-6729-3386,796-523961-7
W000000086,59898.74,U000000772,0653-5540-5293-7016,3222-3202-2193-1125,158-669766-7
W000000087,565998.11,U000000094,4638-8104-6927-1824,0394-8076-1292-0702,144-464964-0
W000000088,601691.17,U000000160,1625-8439-6426-4867,7557-6908-5849-6526,565-295263-3
W000000089,836295.2,U000001835,7536-6438-0976-1389,6915-1415-3016-3328,973-197054-2
W000000090,247827.05,U000000875,3006-7794-1303-5702,1719-9205-6894-1387,945-458149-5
W000000091,913852.81,U000001873,4551-7599-0593-9439,5758-9268-0287-8835,784-526477-6
W000000092,757228.07,U000000837,7279-6828-1956-9879,0033-9067-0445-4153,926-240169-2
W000000093,542562.84,U000000525,3454-1918-9172-7760,5033-4529-0447-1847,415-430987-8
W000000094,716500.58,U000001936,3367-6257-6115-3186,3232-5864-9941-8950,534-851601-8
W000000095,963122.4,U000001086,6163-0789-0850-0805,0364-8586-3704-0886,770-159485-1
W000000096,279158.44,U000000695,1079-8448-7320-9135,3258-4653-9116-8291,671-880002-4
W000000097,563777.56,U000000144,4694-3538-2424-5121,6303-5420-2446-3966,492-304277-0
W000000098,590034.2,U000000899,5159-8614-8850-9751,6822-7319-2593-5187,555-925480-4
W000000099,618143.21,U000001284,2770-4888-4221-6150,0065-6132-7674-1784,644-025390-7
W000000100,126860.43,U000001718,4668-3338-0116-5533,2435-7057-3727-7900,099-708053-1
W000000101,27194.13,U000001265,3973-8319-5589-2260,3510-2606-6230-2278,202-466854-7
W000000102,197815.82,U000000125,1773-2363-4101-0761,7179-2190-0817-6123,371-555321-0
W000000103,219256.78,U000001933,4489-9174-8106-4487,7207-0962-1440-6592,547-315615-8
W000000104,110930.96,U000000434,3804-6974-0999-7894,0418-5593-0033-3156,234-106277-2
W000000105,436735.03,U000001709,0885-2180-2449-0313,9272-3064-9268-5586,844-680699-4
W000000106,148206.01,U000001463,1591-3478-6753-9432,2014-7554-4189-2261,900-265660-1
W000000107,279685.51,U000000950,2482-7493-8881-7495,4060-1150-0889-5811,418-150797-1
W000000108,978453.26,U000000086,5507-3429-9959-9155,8675-6021-8449-4137,640-063232-8
W000000109,968040.33,U000000520,2893-1083-4250-6155,4825-6121-6837-7811,778-347576-8
W000000110,408512.45,U000000239,7352-3452-0476-9337,4076-7915-5137-7644,904-850951-4
W000000111,119452.64,U000001832,8107-9259-5432-3725,6986-5462-2117-6745,074-717179-4
W000000112,171163.2,U000001527,5863-8019-2435-1110,2031-7444-6375-8004,768-108438-1
W000000113,128814.32,U000001793,2747-1357-9530-6120,6799-4143-2304-3234,186-037629-3
W000000114,998307.21,U000000684,5573-8411-7686-0019,2005-7510-2956-0114,053-904289-1
W000000115,663465.02,U000000017,2501-6169-2642-5028,5288-5138-1799-9348,641-945074-7
W000000116,463651.51,U000001620,0295-5184-9265-4563,8234-9965-6188-1274,415-836278-4
W000000117,94694.67,U000001470,6077-8058-1146-1532,6147-3602-5390-3267,246-367921-3
W000000118,452720.1,U000000225,9724-1309-3413-2149,5851-0299-3053-9031,699-766883-2
W000000119,949497.56,U000001752,4331-3490-2497-9956,2096-7739-1051-9857,657-079953-3
W000000120,222104.12,U000000993,7748-1690-2796-3469,5537-5565-1943-4810,245-176635-5
W000000121,162219.93,U000001886,5507-3429-9959-9155,2292-1357-0792-2847,416-475947-9
W000000122,125683.91,U000001555,5816-9179-3653-1518,7046-4730-0517-3484,750-603871-1
W000000123,412243.06,U000000177,0380-3570-3623-7715,4442-7653-3150-2747,072-014539-2
W000000124,411917.78,U000000904,3139-3788-7457-6191,6643-0717-0502-4645,087-526099-7
W000000125,451060.26,U000001498,6451-3374-1471-0685,5629-4120-7368-0819,697-113953-6
W000000126,184112.2,U000001403,3990-3237-2486-2054,2520-3997-0463-5500,061-132579-4
W000000127,938799.85,U000000798,1448-3467-0572-8475,5583-9360-3285-3861,414-281045-6
W000000128,586437.83,U000001084,6976-6738-8997-1263,4967-3585-9835-5906,901-119371-0
W000000129,826934.06,U000000983,3531-1225-2694-1091,0364-3849-4942-7911,752-085045-1
W000000130,360057.33,U000001507,6047-6042-6903-1476,0011-0662-3256-8394,043-487532-6
W000000131,65441.1,U000001708,2770-4888-4221-6150,2096-7739-1051-9857,710-304791-0
W000000132,82438.92,U000001050,3990-3237-2486-2054,0563-6168-3395-0923,387-994782-9
W000000133,328755.04,U000001442,2563-4127-8788-1092,3346-9576-0131-7585,390-630578-4
W000000134,606147.92,U000001968,2248-2365-0172-9584,9538-0675-5638-0155,195-450207-9
W000000135,809349.5,U000001551,9862-3864-7292-8228,3830-5246-2455-2294,676-747554-1
W000000136,779359.22,U000001804,5265-9623-1044-3448,9480-6694-1344-4355,018-979502-9
W000000137,511430.47,U000000629,2965-5284-5577-7220,1622-0915-8945-7726,506-406649-9
W000000138,600754.06,U000000200,6950-5025-3187-4606,3008-2234-9248-3115,279-047174-5
W000000139,300357.02,U000000711,7083-3151-5909-4224,1559-5576-2098-9276,778-347576-8
W000000140,918120.29,U000000643,5805-6438-7463-9584,2617-4824-9972-7069,633-719047-6
W000000141,893713.37,U000000163,2381-4925-9326-3498,7474-4367-6573-8271,081-178892-9
W000000142,892135.46,U000001896,6984-2657-2849-6852,8586-1414-8379-6943,796-462804-7
W000000143,910788.04,U000000979,5510-5439-0733-1351,5965-9063-2411-4523,270-136699-0
W000000144,298013.86,U000001635,4820-5986-7909-5135,3290-3533-8560-1421,635-608126-3
W000000145,548778.94,U000001094,6561-1814-9337-5750,3845-2897-8029-0216,911-826005-5
W000000146,434054.06,U000000713,9959-3791-8327-5451,9887-1268-2300-6885,951-559173-2
W000000147,755469.07,U000000890,3043-5711-0302-5088,1071-4670-9937-7958,690-821264-8
W000000148,915856.52,U000000727,4699-1886-8935-0981,0932-4664-6896-5466,633-932526-5
W000000149,486313.59,U000000922,7587-4006-8717-4829,9418-2739-3082-1611,033-494576-1
W000000150,264508.02,U000000256,2545-9392-9982-9044,0873-2372-4969-1977,267-970894-8
W000000151,229630.88,U000001216,6504-8306-3718-9531,7207-0962-1440-6592,664-876350-7
W000000152,871425.46,U000001134,3410-0880-0976-8494,3844-7950-7320-2089,713-010396-3
W000000153,502036.6,U000001625,1625-8439-6426-4867,0026-5159-1112-5274,345-490304-2
W000000154,506806.01,U000001791,7417-0034-0867-1669,8463-2266-7694-4981,849-927002-4
W000000155,687064.62,U000001501,4162-4869-4649-3380,6639-6832-8737-0334,086-528241-9
W000000156,701967.21,U000001526,5849-6210-3210-6709,2354-3768-7352-9903,326-985185-4
W000000157,113824.05,U000001733,5173-3700-7455-2056,6431-2536-6318-4788,809-260179-3
W000000158,553078.72,U000000789,7727-5721-6868-6160,8617-3388-9523-8085,689-324201-5
W000000159,566792.23,U000001313,3347-3722-9913-3532,2696-5728-4765-7152,452-911194-8
W000000160,953702.46,U000000198,3854-5339-5966-9028,1396-6852-8260-3661,457-012012-9
W000000161,41906.65,U000000709,2022-2630-0732-2082,8178-3122-7218-8424,358-054755-9
W000000162,312960.72,U000000584,4108-6787-2199-5024,1528-4808-2771-0762,904-973832-6
W000000163,60965.54,U000000080,4694-3538-2424-5121,8319-2386-3007-4246,062-016973-9
W000000164,915535.12,U000001839,1333-4330-7563-4299,9277-2152-5435-9228,547-364025-5
W000000165,286676.45,U000001371,1254-8026-6553-2027,9737-7973-5445-1484,396-679006-1
W000000166,572021.67,U000001916,3645-5268-0487-5532,4988-0513-6265-7902,325-429569-2
W000000167,200158.52,U000001693,7531-8243-1647-2269,1795-7429-6310-2095,349-028601-1
W000000168,991170.53,U000001202,2336-0472-6447-7797,2178-1605-4882-4179,604-650127-6
W000000169,386142.27,U000000975,1215-5261-7975-4112,7295-0943-8466-4215,889-011859-8
W000000170,521976.74,U000000137,4972-1677-4180-0575,2448-3177-4600-7119,732-766615-1
W000000171,50772.69,U000000821,9573-5035-6116-5806,7046-4730-0517-3484,764-569488-9
W000000172,387824.37,U000000294,0056-7753-9228-2861,8761-2450-6137-8851,566-472339-5
W000000173,425975.8,U000000936,7390-0520-5725-0050,2057-4636-3772-0921,402-416453-4
W000000174,906271.37,U000001766,0949-9886-7178-4923,5313-7680-6345-7563,281-896740-2
W000000175,116248.1,U000001562,9813-6950-5040-2637,2412-4200-3064-2327,522-572759-6
W000000176,178906.87,U000000676,7759-9278-2077-8540,5957-3358-5803-6595,961-715095-2
W000000177,639375.23,U000001879,3278-4398-9532-4617,1348-7688-5469-6140,132-471085-6
W000000178,440742.79,U000001937,2340-8453-6496-5494,0688-2925-2237-6800,671-333232-5
W000000179,338504.79,U000001187,5371-5890-6115-8572,8577-8529-9210-6484,572-373347-6
W000000180,369889.1,U000001251,1513-6975-6590-7042,4903-6314-3958-3319,248-804386-1
W000000181,309929.84,U000001677,1333-4330-7563-4299,5172-9788-9867-5897,425-843731-8
W000000182,209573.82,U000000497,7936-5803-1065-9607,1481-0060-7786-1440,050-462283-5
W000000183,317298.63,U000001581,8641-2070-7281-7683,9853-5106-2793-1673,186-037629-3
W000000184,543852.86,U000000199,2966-1728-3513-2612,8401-3797-4182-5611,727-248204-6
W000000185,976887.41,U000001430,2749-9267-7859-5098,9399-0211-4204-7128,065-338493-1
W000000186,986124.16,U000000026,9034-4681-6912-3531,7474-1680-7463-8646,939-646915-8
W000000187,337758.28,U000000606,7261-8194-3935-2341,5965-9063-2411-4523,481-406382-6
W000000188,245208.02,U000000330,4021-0143-0082-0502,5628-5899-1134-0357,598-021371-1
W000000189,344403.36,U000001935,7498-1370-6878-1032,8718-4052-9476-2399,509-042540-0
W000000190,6316.38,U000001720,7587-4006-8717-4829,1188-4348-8671-5872,102-239152-3
W000000191,473430.72,U000001093,4812-6138-2026-3238,0341-6600-8584-4452,869-976516-0
W000000192,237492.83,U000000813,5097-8362-7938-0412,7990-4052-7804-8486,955-251491-0
W000000193,232963.84,U000000609,2428-4234-7237-1602,8516-8155-6084-0774,565-356147-9
W000000194,648331.69,U000000731,7043-1615-8026-6697,0085-7647-8974-1141,766-509320-0
W000000195,75287.36,U000001436,8625-7401-8020-9563,4379-2521-8706-6042,350-928608-7
W000000196,500401.81,U000001557,3993-7862-4564-8532,1817-9189-8938-4853,061-399930-0
W000000197,454444.69,U000000928,3099-6030-4987-6564,9907-2052-8330-3533,978-307604-2
W000000198,485861.46,U000001802,4262-4149-3256-7831,8784-9146-8664-1656,896-122878-0
W000000199,960849.4,U000001011,3150-7787-2350-8426,5094-1464-1506-4194,409-968239-8
W000000200,569096.34,U000001179,7261-8194-3935-2341,4735-9052-1821-1673,262-738816-6
W000000201,529854.88,U000001553,0864-3110-9384-6285,1638-6079-3526-7513,237-256527-8
W000000202,679710.9,U000001393,3053-6804-8181-3292,1981-3575-0586-7832,560-171663-5
W000000203,223031.81,U000000554,7101-4706-3575-5318,8454-0996-2870-3334,405-219240-8
W000000204,762722.34,U000001228,9681-3507-8648-4862,1425-6570-1350-1304,386-624808-0
W000000205,995167.25,U000000530,2646-2416-0727-8379,4401-9078-7877-8739,186-037629-3
W000000206,94772.22,U000001731,7773-1282-6147-8266,6247-3826-6599-8139,403-512266-2
W000000207,326795.94,U000000879,4889-1192-7231-6086,1150-8658-8250-6720,828-348534-7
W000000208,1496.31,U000000381,4735-6316-7454-6417,7017-3821-2746-9513,279-306818-7
W000000209,585687.19,U000000848,6812-4755-3762-0348,1227-1721-6193-0370,752-758754-2
W000000210,604816.52,U000000887,2399-2732-8150-8644,2483-0549-2609-7928,543-070575-1
W000000211,672100.76,U000001429,9492-9275-3296-4870,7619-1278-3266-8504,961-715095-2
W000000212,191677.88,U000001914,6424-2311-7466-9452,1607-9596-7674-0674,158-248334-5
W000000213,215457.58,U000001364,4064-0696-6315-6824,1713-4722-4208-1317,149-297484-6
W000000214,222471.2,U000000349,0752-9829-5159-9199,8422-1698-6078-9241,926-630268-7
W000000215,100652.88,U000001955,7362-7742-2474-2339,6467-7127-1017-6469,752-427473-3
W000000216,434495.3,U000000544,0090-6275-8390-1750,2153-2741-4781-9552,028-722549-4
W000000217,71630.84,U000000174,9573-5035-6116-5806,7963-9870-6754-3396,948-837836-2
W000000218,643403.08,U000001898,1090-9173-3478-1768,9525-0081-4877-3364,921-048007-6
W000000219,269012.94,U000001045,9926-3832-2649-8631,3258-4653-9116-8291,126-235118-3
W000000220,34974.55,U000001535,5684-9575-2345-7274,8443-8952-8907-7229,481-406382-6
W000000221,319258.69,U000000779,3054-3324-4613-8069,2483-0549-2609-7928,480-762685-6
W000000222,141937.43,U000001604,4734-1760-0449-0523,7193-9321-7819-9463,655-199145-8
W000000223,574520.39,U000000775,9864-1383-2422-4034,3845-2897-8029-0216,816-889617-2
W000000224,843121.16,U000001596,3455-6421-7669-3874,1381-1465-4466-7122,494-246100-9
W000000225,965872.62,U000000685,3438-3736-1712-9134,6532-7205-7423-5983,696-392102-2
W000000226,904555.33,U000001963,8713-9023-5396-9757,8169-0558-2151-5835,716-623360-2
W000000227,428938.18,U000001847,8852-4657-1065-7202,2942-2988-1401-4463,227-678572-9
W000000228,720931.37,U000000894,0680-4270-6475-6896,7990-4052-7804-8486,795-602232-6
W000000229,930573.08,U000000903,8019-8326-8376-6835,6423-0585-1072-3746,697-078368-5
W000000230,706155.92,U000000027,8875-7062-7227-0284,0989-5949-0721-4484,332-846591-3
W000000231,927379.42,U000000682,2563-4127-8788-1092,0559-6295-8121-5618,664-581778-4
W000000232,182977.55,U000001002,9675-6331-6911-1983,8169-0558-2151-5835,898-937915-4
W000000233,193627.34,U000000439,1865-5658-9298-1289,2259-5146-9164-0820,825-570939-0
W000000234,685722.49,U000001180,2001-9475-0934-0279,1017-9791-7858-0470,251-937851-3
W000000235,64127.6,U000000427,2434-9665-3720-2032,0880-3969-0712-8154,971-411608-9
W000000236,371690.4,U000000555,5949-6907-6403-8572,8544-5172-9625-1178,267-035112-0
W000000237,321667.99,U000000833,0532-5485-1124-6867,1566-3576-1005-4201,981-154800-4
W000000238,331926.89,U000000054,8506-3086-5445-7607,2743-5277-9819-7742,218-906634-4
W000000239,595903.81,U000000607,9580-6444-7654-4316,7351-0746-9192-4563,266-439089-0
W000000240,17828.86,U000000161,7788-8566-8001-3851,4717-1588-2312-5015,800-778902-4
W000000241,216336.14,U000000512,8447-1891-2918-8197,3680-5818-3435-1906,753-057272-1
W000000242,545971.7,U000000661,2747-1357-9530-6120,9264-4006-9267-8940,268-214693-3
W000000243,348050.1,U000000425,3099-6030-4987-6564,0418-7475-5281-0632,853-455692-9
W000000244,73649.57,U000001355,9313-3353-2387-1282,6625-3127-8230-5660,388-503751-7
W000000245,297450.99,U000000019,1865-5658-9298-1289,8462-2920-9786-7144,483-072497-8
W000000246,993990.93,U000000219,0066-6780-2367-9158,3559-4812-9826-4018,565-055816-6
W000000247,584490.62,U000001418,5803-1278-5111-1963,1477-8946-9388-7458,726-057228-0
W000000248,936097.8,U000000580,4992-8020-9026-3481,2570-1648-4700-4500,163-282538-6
W000000249,130166.27,U000001754,1629-7049-4622-2243,0945-9483-5767-0645,840-021179-0
W000000250,467989.87,U000001925,3115-0626-1362-7929,9342-9881-5838-4556,776-492483-8
W000000251,472874.16,U000000891,3921-2258-1317-5397,3312-9464-6809-2922,026-440621-1
W000000252,446941.66,U000001939,4064-0696-6315-6824,9698-8764-4316-0565,836-516856-7
W000000253,701097.53,U000000436,8023-8593-1857-0904,3513-4562-1526-5823,278-290329-9
W000000254,685773.14,U000001622,9282-7411-4953-4653,4424-2658-3817-3139,190-313614-3
W000000255,23744.57,U000001700,6276-9837-6732-3930,4120-7151-9393-4026,314-503764-4
W000000256,913729.39,U000001245,6661-5870-1605-8623,3008-2234-9248-3115,294-452529-5
W000000257,121871.14,U000001423,6238-9186-0119-5630,2318-0043-0568-3169,538-827352-2
W000000258,286912.9,U000000411,5798-3676-9205-3777,9726-6548-1156-6262,261-973956-2
W000000259,62051.76,U000001113,6634-7847-1598-9408,5903-5782-9409-2977,368-136501-8
W000000260,498830.77,U000001404,6884-1454-0261-0038,4394-3493-8125-3287,148-203649-7
W000000261,24006.65,U000001294,7575-9334-6754-6771,6155-4018-9148-4542,047-894349-8
W000000262,623117.96,U000000838,4053-7453-2238-1106,4010-5548-2514-6908,142-421261-4
W000000263,769994.35,U000001370,9218-1326-1604-2625,6647-3908-0487-2594,233-580053-2
W000000264,266049.01,U000001414,6718-7320-5557-1656,8749-7530-5754-3629,239-496890-7
W000000265,244858.52,U000001348,9603-4878-5332-8620,2833-2287-6739-1898,497-702419-7
W000000266,797906.93,U000001573,9977-7018-8303-4637,9454-2254-8027-8214,480-721458-6
W000000267,766365.88,U000000104,1458-4029-5322-9277,2545-4186-1200-3183,850-390425-4
W000000268,964688.28,U000000631,5573-8411-7686-0019,2292-1357-0792-2847,509-851623-0
W000000269,829985.64,U000000615,1109-2230-2852-6429,8001-0655-1089-3595,876-113248-3
W000000270,158234.98,U000000395,3389-0130-1823-9433,5601-0256-9079-5665,841-368532-1
W000000271,132246.94,U000001215,5913-1744-5146-4050,5569-0546-6177-4623,478-430950-8
W000000272,366062.57,U000000698,5010-8264-7492-6034,9337-9608-1993-2589,948-837836-2
W000000273,430276.79,U000001130,7769-4861-7009-6734,9451-8691-2827-0297,538-741904-9
W000000274,291594.09,U000001536,4217-7406-9451-5574,8253-0713-9129-2505,747-573571-5
W000000275,377834.47,U000001634,4877-7757-3026-5370,0813-7403-8471-0571,529-609702-8
W000000276,964600.98,U000001790,2630-3724-9209-8918,1014-3584-2807-5713,831-093396-5
W000000277,262270.89,U000001012,5311-3491-7612-3348,1365-4336-1268-7265,129-500455-3
W000000278,525685.81,U000000585,4149-6108-2896-2761,4532-9708-1414-7940,114-186400-4
W000000279,132014.71,U000000068,4381-4351-9661-0692,3238-5146-6601-9883,063-650062-4
W000000280,227779.47,U000001081,2865-2005-1078-6447,6262-9234-6110-0349,996-563954-0
W000000281,515367.81,U000001702,5510-6124-5932-6886,8276-5908-5409-3848,529-791128-9
W000000282,303488.02,U000000370,3632-5953-8137-0536,0765-3275-0768-3510,552-758800-5
W000000283,902992.17,U000001293,6927-3369-4021-3410,1381-0897-2994-6271,130-730401-3
W000000284,121796.84,U000000155,7171-7043-3876-8956,3247-8950-5847-7357,204-542283-9
W000000285,997429.79,U000001233,8496-9995-9936-6034,9792-5532-6900-5961,558-097837-8
W000000286,126958.42,U000001583,8643-0170-1182-7607,5545-7943-1349-0590,566-472339-5
W000000287,546550.03,U000000377,4285-3175-7134-7098,4835-6506-4980-7416,493-876981-6
W000000288,808291.26,U000001390,1859-4335-7457-0260,6975-0385-2055-5442,495-271049-3
W000000289,254037.44,U000001455,5038-2896-4776-8279,0032-7611-0042-4351,342-634109-1
W000000290,450073.27,U000001478,4676-7244-9482-3177,7395-9488-3519-2586,996-495286-5
W000000291,520217.34,U000000823,1170-9601-6830-6047,9845-3290-3517-7378,855-790292-1
W000000292,203580.64,U000000486,2742-0068-4784-1304,5526-3693-4949-6407,906-633980-5
W000000293,150069.84,U000000531,0038-4591-7348-8687,2523-9392-5476-0791,504-365678-6
W000000294,197807.72,U000001795,2911-2703-7387-3073,2939-6892-0044-0560,558-951899-5
W000000295,624780.06,U000000748,1332-6821-4387-4327,9355-9804-6192-2711,308-336145-3
W000000296,822108.07,U000001438,6212-0219-9841-9560,3240-9528-7945-9237,670-987825-0
W000000297,195783.88,U000000963,2144-7135-3285-3677,6613-0346-6746-0223,128-793357-1
W000000298,348773.66,U000001722,4463-0980-1585-3322,3601-8977-3060-9615,339-871652-4
W000000299,881620.32,U000001031,5710-6056-0906-7643,2182-5668-5992-4100,566-077056-9
W000000300,727314.32,U000000404,9362-1016-9659-3646,5020-4206-1250-4725,514-543098-3
W000000301,775024.55,U000000187,3784-2978-3750-6506,5526-3693-4949-6407,942-518336-4
W000000302,639757.61,U000001513,8651-0516-9663-2443,1193-5140-5695-8106,771-866908-9
